PING 10.0.105.200 (10.0.105.200) 56(84) bytes of data.
64 bytes from 10.0.105.200: icmp_seq=1 ttl=61 time=27.5 ms
64 bytes from 10.0.105.200: icmp_seq=2 ttl=61 time=84.3 ms
64 bytes from 10.0.105.200: icmp_seq=3 ttl=61 time=133 ms
64 bytes from 10.0.105.200: icmp_seq=4 ttl=61 time=166 ms
64 bytes from 10.0.105.200: icmp_seq=5 ttl=61 time=226 ms
64 bytes from 10.0.105.200: icmp_seq=6 ttl=61 time=249 ms
64 bytes from 10.0.105.200: icmp_seq=7 ttl=61 time=309 ms
64 bytes from 10.0.105.200: icmp_seq=8 ttl=61 time=332 ms
64 bytes from 10.0.105.200: icmp_seq=9 ttl=61 time=376 ms
64 bytes from 10.0.105.200: icmp_seq=10 ttl=61 time=453 ms
64 bytes from 10.0.105.200: icmp_seq=11 ttl=61 time=491 ms
64 bytes from 10.0.105.200: icmp_seq=12 ttl=61 time=564 ms
64 bytes from 10.0.105.200: icmp_seq=13 ttl=61 time=636 ms
64 bytes from 10.0.105.200: icmp_seq=14 ttl=61 time=730 ms
64 bytes from 10.0.105.200: icmp_seq=15 ttl=61 time=860 ms
64 bytes from 10.0.105.200: icmp_seq=16 ttl=61 time=1049 ms
64 bytes from 10.0.105.200: icmp_seq=17 ttl=61 time=1272 ms
64 bytes from 10.0.105.200: icmp_seq=18 ttl=61 time=1511 ms
64 bytes from 10.0.105.200: icmp_seq=19 ttl=61 time=1732 ms
64 bytes from 10.0.105.200: icmp_seq=20 ttl=61 time=1989 ms
64 bytes from 10.0.105.200: icmp_seq=21 ttl=61 time=2307 ms
64 bytes from 10.0.105.200: icmp_seq=22 ttl=61 time=2576 ms
64 bytes from 10.0.105.200: icmp_seq=23 ttl=61 time=2912 ms
64 bytes from 10.0.105.200: icmp_seq=24 ttl=61 time=3198 ms
64 bytes from 10.0.105.200: icmp_seq=25 ttl=61 time=3371 ms
64 bytes from 10.0.105.200: icmp_seq=26 ttl=61 time=3372 ms
64 bytes from 10.0.105.200: icmp_seq=27 ttl=61 time=3372 ms
64 bytes from 10.0.105.200: icmp_seq=28 ttl=61 time=3353 ms
64 bytes from 10.0.105.200: icmp_seq=29 ttl=61 time=3174 ms
64 bytes from 10.0.105.200: icmp_seq=30 ttl=61 time=2973 ms
64 bytes from 10.0.105.200: icmp_seq=32 ttl=61 time=2578 ms
64 bytes from 10.0.105.200: icmp_seq=33 ttl=61 time=1718 ms
64 bytes from 10.0.105.200: icmp_seq=34 ttl=61 time=972 ms
64 bytes from 10.0.105.200: icmp_seq=35 ttl=61 time=649 ms
64 bytes from 10.0.105.200: icmp_seq=36 ttl=61 time=1322 ms
64 bytes from 10.0.105.200: icmp_seq=37 ttl=61 time=1720 ms
64 bytes from 10.0.105.200: icmp_seq=38 ttl=61 time=1939 ms
64 bytes from 10.0.105.200: icmp_seq=39 ttl=61 time=2094 ms
64 bytes from 10.0.105.200: icmp_seq=40 ttl=61 time=1868 ms
64 bytes from 10.0.105.200: icmp_seq=41 ttl=61 time=1732 ms
64 bytes from 10.0.105.200: icmp_seq=42 ttl=61 time=1913 ms
64 bytes from 10.0.105.200: icmp_seq=43 ttl=61 time=2217 ms
64 bytes from 10.0.105.200: icmp_seq=44 ttl=61 time=2185 ms
64 bytes from 10.0.105.200: icmp_seq=45 ttl=61 time=1971 ms
64 bytes from 10.0.105.200: icmp_seq=46 ttl=61 time=1980 ms
64 bytes from 10.0.105.200: icmp_seq=47 ttl=61 time=2138 ms
64 bytes from 10.0.105.200: icmp_seq=48 ttl=61 time=2294 ms
64 bytes from 10.0.105.200: icmp_seq=49 ttl=61 time=2242 ms
64 bytes from 10.0.105.200: icmp_seq=50 ttl=61 time=2074 ms
64 bytes from 10.0.105.200: icmp_seq=51 ttl=61 time=2138 ms
64 bytes from 10.0.105.200: icmp_seq=52 ttl=61 time=2284 ms
64 bytes from 10.0.105.200: icmp_seq=53 ttl=61 time=2397 ms
64 bytes from 10.0.105.200: icmp_seq=54 ttl=61 time=2372 ms
64 bytes from 10.0.105.200: icmp_seq=55 ttl=61 time=2409 ms
64 bytes from 10.0.105.200: icmp_seq=56 ttl=61 time=2482 ms
64 bytes from 10.0.105.200: icmp_seq=57 ttl=61 time=2550 ms
64 bytes from 10.0.105.200: icmp_seq=58 ttl=61 time=2539 ms
64 bytes from 10.0.105.200: icmp_seq=59 ttl=61 time=2614 ms
64 bytes from 10.0.105.200: icmp_seq=60 ttl=61 time=2685 ms
64 bytes from 10.0.105.200: icmp_seq=61 ttl=61 time=2810 ms
64 bytes from 10.0.105.200: icmp_seq=62 ttl=61 time=2885 ms
64 bytes from 10.0.105.200: icmp_seq=63 ttl=61 time=3043 ms
64 bytes from 10.0.105.200: icmp_seq=64 ttl=61 time=3169 ms
64 bytes from 10.0.105.200: icmp_seq=65 ttl=61 time=3362 ms
64 bytes from 10.0.105.200: icmp_seq=66 ttl=61 time=3363 ms
64 bytes from 10.0.105.200: icmp_seq=68 ttl=61 time=3349 ms
64 bytes from 10.0.105.200: icmp_seq=70 ttl=61 time=3218 ms
64 bytes from 10.0.105.200: icmp_seq=71 ttl=61 time=2990 ms
64 bytes from 10.0.105.200: icmp_seq=72 ttl=61 time=2855 ms
64 bytes from 10.0.105.200: icmp_seq=73 ttl=61 time=2519 ms
64 bytes from 10.0.105.200: icmp_seq=74 ttl=61 time=2058 ms
64 bytes from 10.0.105.200: icmp_seq=75 ttl=61 time=1411 ms
64 bytes from 10.0.105.200: icmp_seq=76 ttl=61 time=780 ms
64 bytes from 10.0.105.200: icmp_seq=77 ttl=61 time=575 ms
64 bytes from 10.0.105.200: icmp_seq=78 ttl=61 time=1111 ms
64 bytes from 10.0.105.200: icmp_seq=79 ttl=61 time=972 ms
64 bytes from 10.0.105.200: icmp_seq=80 ttl=61 time=1607 ms
64 bytes from 10.0.105.200: icmp_seq=81 ttl=61 time=1475 ms
64 bytes from 10.0.105.200: icmp_seq=82 ttl=61 time=1504 ms
64 bytes from 10.0.105.200: icmp_seq=83 ttl=61 time=1947 ms
64 bytes from 10.0.105.200: icmp_seq=84 ttl=61 time=1936 ms
64 bytes from 10.0.105.200: icmp_seq=85 ttl=61 time=1788 ms
64 bytes from 10.0.105.200: icmp_seq=86 ttl=61 time=1755 ms
64 bytes from 10.0.105.200: icmp_seq=87 ttl=61 time=1873 ms
64 bytes from 10.0.105.200: icmp_seq=88 ttl=61 time=2229 ms
64 bytes from 10.0.105.200: icmp_seq=89 ttl=61 time=1929 ms
64 bytes from 10.0.105.200: icmp_seq=90 ttl=61 time=2052 ms
64 bytes from 10.0.105.200: icmp_seq=91 ttl=61 time=2246 ms
64 bytes from 10.0.105.200: icmp_seq=92 ttl=61 time=2153 ms
64 bytes from 10.0.105.200: icmp_seq=93 ttl=61 time=2221 ms
64 bytes from 10.0.105.200: icmp_seq=94 ttl=61 time=2137 ms
64 bytes from 10.0.105.200: icmp_seq=95 ttl=61 time=2338 ms
64 bytes from 10.0.105.200: icmp_seq=96 ttl=61 time=2204 ms
64 bytes from 10.0.105.200: icmp_seq=97 ttl=61 time=2255 ms
64 bytes from 10.0.105.200: icmp_seq=98 ttl=61 time=2305 ms
64 bytes from 10.0.105.200: icmp_seq=99 ttl=61 time=2419 ms
64 bytes from 10.0.105.200: icmp_seq=100 ttl=61 time=2502 ms
64 bytes from 10.0.105.200: icmp_seq=101 ttl=61 time=2528 ms
64 bytes from 10.0.105.200: icmp_seq=102 ttl=61 time=2676 ms
64 bytes from 10.0.105.200: icmp_seq=103 ttl=61 time=2865 ms
64 bytes from 10.0.105.200: icmp_seq=104 ttl=61 time=2995 ms
64 bytes from 10.0.105.200: icmp_seq=105 ttl=61 time=3069 ms
64 bytes from 10.0.105.200: icmp_seq=108 ttl=61 time=3389 ms
64 bytes from 10.0.105.200: icmp_seq=110 ttl=61 time=3299 ms
64 bytes from 10.0.105.200: icmp_seq=111 ttl=61 time=2980 ms
64 bytes from 10.0.105.200: icmp_seq=112 ttl=61 time=2921 ms
64 bytes from 10.0.105.200: icmp_seq=113 ttl=61 time=2543 ms
64 bytes from 10.0.105.200: icmp_seq=114 ttl=61 time=2832 ms
64 bytes from 10.0.105.200: icmp_seq=115 ttl=61 time=2368 ms
64 bytes from 10.0.105.200: icmp_seq=116 ttl=61 time=1928 ms
64 bytes from 10.0.105.200: icmp_seq=117 ttl=61 time=1129 ms
64 bytes from 10.0.105.200: icmp_seq=118 ttl=61 time=799 ms
64 bytes from 10.0.105.200: icmp_seq=119 ttl=61 time=838 ms
64 bytes from 10.0.105.200: icmp_seq=120 ttl=61 time=1477 ms
64 bytes from 10.0.105.200: icmp_seq=121 ttl=61 time=1826 ms
64 bytes from 10.0.105.200: icmp_seq=122 ttl=61 time=2334 ms
64 bytes from 10.0.105.200: icmp_seq=123 ttl=61 time=2246 ms
64 bytes from 10.0.105.200: icmp_seq=124 ttl=61 time=1913 ms
64 bytes from 10.0.105.200: icmp_seq=125 ttl=61 time=1908 ms
64 bytes from 10.0.105.200: icmp_seq=126 ttl=61 time=2037 ms
64 bytes from 10.0.105.200: icmp_seq=127 ttl=61 time=2266 ms
64 bytes from 10.0.105.200: icmp_seq=128 ttl=61 time=2135 ms
64 bytes from 10.0.105.200: icmp_seq=129 ttl=61 time=2018 ms
64 bytes from 10.0.105.200: icmp_seq=130 ttl=61 time=2210 ms
64 bytes from 10.0.105.200: icmp_seq=131 ttl=61 time=2304 ms
64 bytes from 10.0.105.200: icmp_seq=132 ttl=61 time=2190 ms
64 bytes from 10.0.105.200: icmp_seq=133 ttl=61 time=2131 ms
64 bytes from 10.0.105.200: icmp_seq=134 ttl=61 time=2284 ms
64 bytes from 10.0.105.200: icmp_seq=135 ttl=61 time=2399 ms
64 bytes from 10.0.105.200: icmp_seq=136 ttl=61 time=2250 ms
64 bytes from 10.0.105.200: icmp_seq=137 ttl=61 time=2288 ms
64 bytes from 10.0.105.200: icmp_seq=138 ttl=61 time=2349 ms
64 bytes from 10.0.105.200: icmp_seq=139 ttl=61 time=2460 ms
64 bytes from 10.0.105.200: icmp_seq=140 ttl=61 time=2499 ms
64 bytes from 10.0.105.200: icmp_seq=141 ttl=61 time=2464 ms
64 bytes from 10.0.105.200: icmp_seq=142 ttl=61 time=2596 ms
64 bytes from 10.0.105.200: icmp_seq=143 ttl=61 time=2773 ms
64 bytes from 10.0.105.200: icmp_seq=144 ttl=61 time=2900 ms
64 bytes from 10.0.105.200: icmp_seq=145 ttl=61 time=3004 ms
64 bytes from 10.0.105.200: icmp_seq=146 ttl=61 time=3163 ms
64 bytes from 10.0.105.200: icmp_seq=147 ttl=61 time=3331 ms
64 bytes from 10.0.105.200: icmp_seq=148 ttl=61 time=3363 ms
64 bytes from 10.0.105.200: icmp_seq=150 ttl=61 time=3346 ms
64 bytes from 10.0.105.200: icmp_seq=151 ttl=61 time=3263 ms
64 bytes from 10.0.105.200: icmp_seq=152 ttl=61 time=3073 ms
64 bytes from 10.0.105.200: icmp_seq=153 ttl=61 time=2869 ms
64 bytes from 10.0.105.200: icmp_seq=154 ttl=61 time=2732 ms
64 bytes from 10.0.105.200: icmp_seq=155 ttl=61 time=2198 ms
64 bytes from 10.0.105.200: icmp_seq=156 ttl=61 time=1645 ms
64 bytes from 10.0.105.200: icmp_seq=157 ttl=61 time=1254 ms
64 bytes from 10.0.105.200: icmp_seq=158 ttl=61 time=1417 ms
64 bytes from 10.0.105.200: icmp_seq=159 ttl=61 time=1539 ms
64 bytes from 10.0.105.200: icmp_seq=160 ttl=61 time=1590 ms
64 bytes from 10.0.105.200: icmp_seq=161 ttl=61 time=1511 ms
64 bytes from 10.0.105.200: icmp_seq=162 ttl=61 time=1761 ms
64 bytes from 10.0.105.200: icmp_seq=163 ttl=61 time=1841 ms
64 bytes from 10.0.105.200: icmp_seq=164 ttl=61 time=1753 ms
64 bytes from 10.0.105.200: icmp_seq=165 ttl=61 time=1935 ms
64 bytes from 10.0.105.200: icmp_seq=166 ttl=61 time=1834 ms
64 bytes from 10.0.105.200: icmp_seq=167 ttl=61 time=1960 ms
64 bytes from 10.0.105.200: icmp_seq=168 ttl=61 time=1991 ms
64 bytes from 10.0.105.200: icmp_seq=169 ttl=61 time=2001 ms
64 bytes from 10.0.105.200: icmp_seq=170 ttl=61 time=2123 ms
64 bytes from 10.0.105.200: icmp_seq=171 ttl=61 time=2173 ms
64 bytes from 10.0.105.200: icmp_seq=172 ttl=61 time=2240 ms
64 bytes from 10.0.105.200: icmp_seq=173 ttl=61 time=2204 ms
64 bytes from 10.0.105.200: icmp_seq=174 ttl=61 time=2247 ms
64 bytes from 10.0.105.200: icmp_seq=175 ttl=61 time=2292 ms
64 bytes from 10.0.105.200: icmp_seq=176 ttl=61 time=2307 ms
64 bytes from 10.0.105.200: icmp_seq=177 ttl=61 time=2372 ms
64 bytes from 10.0.105.200: icmp_seq=178 ttl=61 time=2332 ms
64 bytes from 10.0.105.200: icmp_seq=179 ttl=61 time=2387 ms
64 bytes from 10.0.105.200: icmp_seq=180 ttl=61 time=2443 ms
64 bytes from 10.0.105.200: icmp_seq=181 ttl=61 time=2469 ms
64 bytes from 10.0.105.200: icmp_seq=182 ttl=61 time=2563 ms
64 bytes from 10.0.105.200: icmp_seq=183 ttl=61 time=2629 ms
64 bytes from 10.0.105.200: icmp_seq=184 ttl=61 time=2693 ms
64 bytes from 10.0.105.200: icmp_seq=185 ttl=61 time=2911 ms
64 bytes from 10.0.105.200: icmp_seq=186 ttl=61 time=3098 ms
64 bytes from 10.0.105.200: icmp_seq=187 ttl=61 time=3309 ms
64 bytes from 10.0.105.200: icmp_seq=188 ttl=61 time=3326 ms
64 bytes from 10.0.105.200: icmp_seq=189 ttl=61 time=3322 ms
64 bytes from 10.0.105.200: icmp_seq=191 ttl=61 time=3264 ms
64 bytes from 10.0.105.200: icmp_seq=192 ttl=61 time=3086 ms
64 bytes from 10.0.105.200: icmp_seq=193 ttl=61 time=2832 ms
64 bytes from 10.0.105.200: icmp_seq=194 ttl=61 time=2481 ms
64 bytes from 10.0.105.200: icmp_seq=195 ttl=61 time=2533 ms
64 bytes from 10.0.105.200: icmp_seq=196 ttl=61 time=2170 ms
64 bytes from 10.0.105.200: icmp_seq=197 ttl=61 time=1455 ms
64 bytes from 10.0.105.200: icmp_seq=198 ttl=61 time=1134 ms
64 bytes from 10.0.105.200: icmp_seq=199 ttl=61 time=1043 ms
64 bytes from 10.0.105.200: icmp_seq=200 ttl=61 time=1622 ms
64 bytes from 10.0.105.200: icmp_seq=201 ttl=61 time=1938 ms
64 bytes from 10.0.105.200: icmp_seq=202 ttl=61 time=2222 ms
64 bytes from 10.0.105.200: icmp_seq=203 ttl=61 time=2303 ms
64 bytes from 10.0.105.200: icmp_seq=204 ttl=61 time=2220 ms
64 bytes from 10.0.105.200: icmp_seq=205 ttl=61 time=2202 ms
64 bytes from 10.0.105.200: icmp_seq=206 ttl=61 time=2359 ms
64 bytes from 10.0.105.200: icmp_seq=207 ttl=61 time=2474 ms
64 bytes from 10.0.105.200: icmp_seq=208 ttl=61 time=2494 ms
64 bytes from 10.0.105.200: icmp_seq=209 ttl=61 time=2404 ms
64 bytes from 10.0.105.200: icmp_seq=210 ttl=61 time=2359 ms
64 bytes from 10.0.105.200: icmp_seq=211 ttl=61 time=2308 ms
64 bytes from 10.0.105.200: icmp_seq=212 ttl=61 time=2386 ms
64 bytes from 10.0.105.200: icmp_seq=213 ttl=61 time=2449 ms
64 bytes from 10.0.105.200: icmp_seq=214 ttl=61 time=2475 ms
64 bytes from 10.0.105.200: icmp_seq=215 ttl=61 time=2410 ms
64 bytes from 10.0.105.200: icmp_seq=216 ttl=61 time=2321 ms
64 bytes from 10.0.105.200: icmp_seq=217 ttl=61 time=2395 ms
64 bytes from 10.0.105.200: icmp_seq=218 ttl=61 time=2521 ms
64 bytes from 10.0.105.200: icmp_seq=219 ttl=61 time=2571 ms
64 bytes from 10.0.105.200: icmp_seq=220 ttl=61 time=2470 ms
64 bytes from 10.0.105.200: icmp_seq=221 ttl=61 time=2515 ms
64 bytes from 10.0.105.200: icmp_seq=222 ttl=61 time=2783 ms
64 bytes from 10.0.105.200: icmp_seq=223 ttl=61 time=2841 ms
64 bytes from 10.0.105.200: icmp_seq=224 ttl=61 time=3034 ms
64 bytes from 10.0.105.200: icmp_seq=225 ttl=61 time=3093 ms
64 bytes from 10.0.105.200: icmp_seq=226 ttl=61 time=3203 ms
64 bytes from 10.0.105.200: icmp_seq=228 ttl=61 time=3344 ms
64 bytes from 10.0.105.200: icmp_seq=231 ttl=61 time=3111 ms
64 bytes from 10.0.105.200: icmp_seq=232 ttl=61 time=2853 ms
64 bytes from 10.0.105.200: icmp_seq=233 ttl=61 time=2842 ms
64 bytes from 10.0.105.200: icmp_seq=234 ttl=61 time=2847 ms
