PING 10.0.105.200 (10.0.105.200) 56(84) bytes of data.
64 bytes from 10.0.105.200: icmp_seq=1 ttl=61 time=29.5 ms
64 bytes from 10.0.105.200: icmp_seq=2 ttl=61 time=80.1 ms
64 bytes from 10.0.105.200: icmp_seq=3 ttl=61 time=86.1 ms
64 bytes from 10.0.105.200: icmp_seq=4 ttl=61 time=93.8 ms
64 bytes from 10.0.105.200: icmp_seq=5 ttl=61 time=102 ms
64 bytes from 10.0.105.200: icmp_seq=6 ttl=61 time=118 ms
64 bytes from 10.0.105.200: icmp_seq=7 ttl=61 time=149 ms
64 bytes from 10.0.105.200: icmp_seq=8 ttl=61 time=186 ms
64 bytes from 10.0.105.200: icmp_seq=9 ttl=61 time=239 ms
64 bytes from 10.0.105.200: icmp_seq=10 ttl=61 time=299 ms
64 bytes from 10.0.105.200: icmp_seq=11 ttl=61 time=381 ms
64 bytes from 10.0.105.200: icmp_seq=12 ttl=61 time=476 ms
64 bytes from 10.0.105.200: icmp_seq=13 ttl=61 time=579 ms
64 bytes from 10.0.105.200: icmp_seq=14 ttl=61 time=704 ms
64 bytes from 10.0.105.200: icmp_seq=15 ttl=61 time=812 ms
64 bytes from 10.0.105.200: icmp_seq=16 ttl=61 time=915 ms
64 bytes from 10.0.105.200: icmp_seq=17 ttl=61 time=1084 ms
64 bytes from 10.0.105.200: icmp_seq=18 ttl=61 time=1279 ms
64 bytes from 10.0.105.200: icmp_seq=19 ttl=61 time=1490 ms
64 bytes from 10.0.105.200: icmp_seq=20 ttl=61 time=1732 ms
64 bytes from 10.0.105.200: icmp_seq=21 ttl=61 time=1968 ms
64 bytes from 10.0.105.200: icmp_seq=22 ttl=61 time=2232 ms
64 bytes from 10.0.105.200: icmp_seq=23 ttl=61 time=2567 ms
64 bytes from 10.0.105.200: icmp_seq=24 ttl=61 time=2892 ms
64 bytes from 10.0.105.200: icmp_seq=25 ttl=61 time=3217 ms
64 bytes from 10.0.105.200: icmp_seq=26 ttl=61 time=3378 ms
64 bytes from 10.0.105.200: icmp_seq=27 ttl=61 time=3376 ms
64 bytes from 10.0.105.200: icmp_seq=28 ttl=61 time=3375 ms
64 bytes from 10.0.105.200: icmp_seq=29 ttl=61 time=3294 ms
64 bytes from 10.0.105.200: icmp_seq=30 ttl=61 time=2827 ms
64 bytes from 10.0.105.200: icmp_seq=31 ttl=61 time=2429 ms
64 bytes from 10.0.105.200: icmp_seq=32 ttl=61 time=3367 ms
64 bytes from 10.0.105.200: icmp_seq=33 ttl=61 time=2443 ms
64 bytes from 10.0.105.200: icmp_seq=34 ttl=61 time=1443 ms
64 bytes from 10.0.105.200: icmp_seq=35 ttl=61 time=403 ms
64 bytes from 10.0.105.200: icmp_seq=36 ttl=61 time=1704 ms
64 bytes from 10.0.105.200: icmp_seq=37 ttl=61 time=1830 ms
64 bytes from 10.0.105.200: icmp_seq=38 ttl=61 time=2035 ms
64 bytes from 10.0.105.200: icmp_seq=39 ttl=61 time=2085 ms
64 bytes from 10.0.105.200: icmp_seq=40 ttl=61 time=2132 ms
64 bytes from 10.0.105.200: icmp_seq=41 ttl=61 time=2189 ms
64 bytes from 10.0.105.200: icmp_seq=42 ttl=61 time=2252 ms
64 bytes from 10.0.105.200: icmp_seq=43 ttl=61 time=2303 ms
