PING 10.0.105.200 (10.0.105.200) 56(84) bytes of data.
64 bytes from 10.0.105.200: icmp_seq=1 ttl=61 time=63.7 ms
64 bytes from 10.0.105.200: icmp_seq=2 ttl=61 time=301 ms
64 bytes from 10.0.105.200: icmp_seq=3 ttl=61 time=350 ms
64 bytes from 10.0.105.200: icmp_seq=4 ttl=61 time=410 ms
64 bytes from 10.0.105.200: icmp_seq=5 ttl=61 time=455 ms
64 bytes from 10.0.105.200: icmp_seq=6 ttl=61 time=507 ms
64 bytes from 10.0.105.200: icmp_seq=7 ttl=61 time=602 ms
64 bytes from 10.0.105.200: icmp_seq=8 ttl=61 time=801 ms
64 bytes from 10.0.105.200: icmp_seq=9 ttl=61 time=1061 ms
64 bytes from 10.0.105.200: icmp_seq=10 ttl=61 time=1354 ms
64 bytes from 10.0.105.200: icmp_seq=11 ttl=61 time=1740 ms
64 bytes from 10.0.105.200: icmp_seq=12 ttl=61 time=2169 ms
64 bytes from 10.0.105.200: icmp_seq=13 ttl=61 time=2651 ms
64 bytes from 10.0.105.200: icmp_seq=14 ttl=61 time=3166 ms
64 bytes from 10.0.105.200: icmp_seq=15 ttl=61 time=3427 ms
64 bytes from 10.0.105.200: icmp_seq=19 ttl=61 time=3208 ms
64 bytes from 10.0.105.200: icmp_seq=21 ttl=61 time=2943 ms
64 bytes from 10.0.105.200: icmp_seq=22 ttl=61 time=2953 ms
64 bytes from 10.0.105.200: icmp_seq=23 ttl=61 time=2937 ms
64 bytes from 10.0.105.200: icmp_seq=24 ttl=61 time=2919 ms
64 bytes from 10.0.105.200: icmp_seq=25 ttl=61 time=2912 ms
64 bytes from 10.0.105.200: icmp_seq=26 ttl=61 time=2967 ms
64 bytes from 10.0.105.200: icmp_seq=27 ttl=61 time=2389 ms
64 bytes from 10.0.105.200: icmp_seq=28 ttl=61 time=1996 ms
64 bytes from 10.0.105.200: icmp_seq=29 ttl=61 time=1636 ms
64 bytes from 10.0.105.200: icmp_seq=30 ttl=61 time=2373 ms
64 bytes from 10.0.105.200: icmp_seq=31 ttl=61 time=2402 ms
64 bytes from 10.0.105.200: icmp_seq=32 ttl=61 time=2611 ms
64 bytes from 10.0.105.200: icmp_seq=33 ttl=61 time=2692 ms
64 bytes from 10.0.105.200: icmp_seq=34 ttl=61 time=2791 ms
64 bytes from 10.0.105.200: icmp_seq=35 ttl=61 time=2904 ms
64 bytes from 10.0.105.200: icmp_seq=36 ttl=61 time=3002 ms
64 bytes from 10.0.105.200: icmp_seq=37 ttl=61 time=3084 ms
64 bytes from 10.0.105.200: icmp_seq=38 ttl=61 time=3148 ms
64 bytes from 10.0.105.200: icmp_seq=39 ttl=61 time=3185 ms
64 bytes from 10.0.105.200: icmp_seq=40 ttl=61 time=3211 ms
64 bytes from 10.0.105.200: icmp_seq=41 ttl=61 time=3263 ms
64 bytes from 10.0.105.200: icmp_seq=42 ttl=61 time=3351 ms
64 bytes from 10.0.105.200: icmp_seq=43 ttl=61 time=3472 ms
64 bytes from 10.0.105.200: icmp_seq=46 ttl=61 time=3546 ms
64 bytes from 10.0.105.200: icmp_seq=47 ttl=61 time=3572 ms
64 bytes from 10.0.105.200: icmp_seq=48 ttl=61 time=3311 ms
64 bytes from 10.0.105.200: icmp_seq=49 ttl=61 time=3057 ms
64 bytes from 10.0.105.200: icmp_seq=50 ttl=61 time=2904 ms
64 bytes from 10.0.105.200: icmp_seq=51 ttl=61 time=2896 ms
64 bytes from 10.0.105.200: icmp_seq=52 ttl=61 time=2985 ms
64 bytes from 10.0.105.200: icmp_seq=53 ttl=61 time=3024 ms
64 bytes from 10.0.105.200: icmp_seq=54 ttl=61 time=2988 ms
64 bytes from 10.0.105.200: icmp_seq=55 ttl=61 time=3021 ms
64 bytes from 10.0.105.200: icmp_seq=56 ttl=61 time=3036 ms
64 bytes from 10.0.105.200: icmp_seq=57 ttl=61 time=2928 ms
64 bytes from 10.0.105.200: icmp_seq=58 ttl=61 time=2694 ms
64 bytes from 10.0.105.200: icmp_seq=59 ttl=61 time=2465 ms
64 bytes from 10.0.105.200: icmp_seq=60 ttl=61 time=2319 ms

--- 10.0.105.200 ping statistics ---
60 packets transmitted, 54 received, 10% packet loss, time 59407ms
rtt min/avg/max/mdev = 63.693/2447.294/3571.502/981.093 ms, pipe 4
