PING 10.0.105.200 (10.0.105.200) 56(84) bytes of data.
64 bytes from 10.0.105.200: icmp_seq=1 ttl=61 time=29.1 ms
64 bytes from 10.0.105.200: icmp_seq=2 ttl=61 time=91.4 ms
64 bytes from 10.0.105.200: icmp_seq=3 ttl=61 time=99.0 ms
64 bytes from 10.0.105.200: icmp_seq=4 ttl=61 time=125 ms
64 bytes from 10.0.105.200: icmp_seq=5 ttl=61 time=175 ms
64 bytes from 10.0.105.200: icmp_seq=6 ttl=61 time=256 ms
64 bytes from 10.0.105.200: icmp_seq=7 ttl=61 time=264 ms
64 bytes from 10.0.105.200: icmp_seq=8 ttl=61 time=275 ms
64 bytes from 10.0.105.200: icmp_seq=9 ttl=61 time=319 ms
64 bytes from 10.0.105.200: icmp_seq=10 ttl=61 time=365 ms
64 bytes from 10.0.105.200: icmp_seq=11 ttl=61 time=452 ms
64 bytes from 10.0.105.200: icmp_seq=12 ttl=61 time=538 ms
64 bytes from 10.0.105.200: icmp_seq=13 ttl=61 time=611 ms
64 bytes from 10.0.105.200: icmp_seq=14 ttl=61 time=751 ms
64 bytes from 10.0.105.200: icmp_seq=15 ttl=61 time=962 ms
64 bytes from 10.0.105.200: icmp_seq=16 ttl=61 time=1299 ms
64 bytes from 10.0.105.200: icmp_seq=17 ttl=61 time=1539 ms
64 bytes from 10.0.105.200: icmp_seq=18 ttl=61 time=1861 ms
64 bytes from 10.0.105.200: icmp_seq=19 ttl=61 time=2157 ms
64 bytes from 10.0.105.200: icmp_seq=20 ttl=61 time=2519 ms
64 bytes from 10.0.105.200: icmp_seq=21 ttl=61 time=2983 ms
64 bytes from 10.0.105.200: icmp_seq=22 ttl=61 time=3269 ms
64 bytes from 10.0.105.200: icmp_seq=23 ttl=61 time=3660 ms
64 bytes from 10.0.105.200: icmp_seq=25 ttl=61 time=4272 ms
64 bytes from 10.0.105.200: icmp_seq=26 ttl=61 time=3828 ms
64 bytes from 10.0.105.200: icmp_seq=27 ttl=61 time=3658 ms
64 bytes from 10.0.105.200: icmp_seq=28 ttl=61 time=3382 ms
64 bytes from 10.0.105.200: icmp_seq=29 ttl=61 time=2773 ms
64 bytes from 10.0.105.200: icmp_seq=30 ttl=61 time=3024 ms
64 bytes from 10.0.105.200: icmp_seq=31 ttl=61 time=2962 ms
64 bytes from 10.0.105.200: icmp_seq=32 ttl=61 time=2775 ms
64 bytes from 10.0.105.200: icmp_seq=33 ttl=61 time=2664 ms
64 bytes from 10.0.105.200: icmp_seq=34 ttl=61 time=2231 ms
64 bytes from 10.0.105.200: icmp_seq=35 ttl=61 time=1963 ms
64 bytes from 10.0.105.200: icmp_seq=36 ttl=61 time=2885 ms
64 bytes from 10.0.105.200: icmp_seq=37 ttl=61 time=2577 ms
64 bytes from 10.0.105.200: icmp_seq=38 ttl=61 time=1991 ms
64 bytes from 10.0.105.200: icmp_seq=39 ttl=61 time=2143 ms
64 bytes from 10.0.105.200: icmp_seq=40 ttl=61 time=2200 ms
64 bytes from 10.0.105.200: icmp_seq=41 ttl=61 time=2004 ms
64 bytes from 10.0.105.200: icmp_seq=42 ttl=61 time=1826 ms
64 bytes from 10.0.105.200: icmp_seq=43 ttl=61 time=1593 ms
64 bytes from 10.0.105.200: icmp_seq=44 ttl=61 time=1458 ms
64 bytes from 10.0.105.200: icmp_seq=45 ttl=61 time=1416 ms
64 bytes from 10.0.105.200: icmp_seq=46 ttl=61 time=1298 ms
64 bytes from 10.0.105.200: icmp_seq=47 ttl=61 time=1168 ms
64 bytes from 10.0.105.200: icmp_seq=48 ttl=61 time=1152 ms
64 bytes from 10.0.105.200: icmp_seq=49 ttl=61 time=1065 ms
64 bytes from 10.0.105.200: icmp_seq=50 ttl=61 time=981 ms
64 bytes from 10.0.105.200: icmp_seq=51 ttl=61 time=1077 ms
64 bytes from 10.0.105.200: icmp_seq=52 ttl=61 time=1190 ms
64 bytes from 10.0.105.200: icmp_seq=53 ttl=61 time=1223 ms
64 bytes from 10.0.105.200: icmp_seq=54 ttl=61 time=1172 ms
64 bytes from 10.0.105.200: icmp_seq=55 ttl=61 time=1020 ms
64 bytes from 10.0.105.200: icmp_seq=56 ttl=61 time=1003 ms
64 bytes from 10.0.105.200: icmp_seq=57 ttl=61 time=1088 ms
64 bytes from 10.0.105.200: icmp_seq=58 ttl=61 time=925 ms
64 bytes from 10.0.105.200: icmp_seq=59 ttl=61 time=919 ms
64 bytes from 10.0.105.200: icmp_seq=60 ttl=61 time=912 ms

--- 10.0.105.200 ping statistics ---
60 packets transmitted, 59 received, 1.66667% packet loss, time 59483ms
rtt min/avg/max/mdev = 29.082/1600.332/4272.374/1091.479 ms, pipe 5
