PING 10.0.105.200 (10.0.105.200) 56(84) bytes of data.
64 bytes from 10.0.105.200: icmp_seq=1 ttl=61 time=27.8 ms
64 bytes from 10.0.105.200: icmp_seq=2 ttl=61 time=81.7 ms
64 bytes from 10.0.105.200: icmp_seq=3 ttl=61 time=88.7 ms
64 bytes from 10.0.105.200: icmp_seq=4 ttl=61 time=117 ms
64 bytes from 10.0.105.200: icmp_seq=5 ttl=61 time=245 ms
64 bytes from 10.0.105.200: icmp_seq=6 ttl=61 time=244 ms
64 bytes from 10.0.105.200: icmp_seq=7 ttl=61 time=276 ms
64 bytes from 10.0.105.200: icmp_seq=8 ttl=61 time=270 ms
64 bytes from 10.0.105.200: icmp_seq=9 ttl=61 time=324 ms
64 bytes from 10.0.105.200: icmp_seq=10 ttl=61 time=364 ms
64 bytes from 10.0.105.200: icmp_seq=11 ttl=61 time=449 ms
64 bytes from 10.0.105.200: icmp_seq=12 ttl=61 time=552 ms
64 bytes from 10.0.105.200: icmp_seq=13 ttl=61 time=611 ms
64 bytes from 10.0.105.200: icmp_seq=14 ttl=61 time=756 ms
64 bytes from 10.0.105.200: icmp_seq=15 ttl=61 time=967 ms
64 bytes from 10.0.105.200: icmp_seq=16 ttl=61 time=1303 ms
64 bytes from 10.0.105.200: icmp_seq=17 ttl=61 time=1540 ms
64 bytes from 10.0.105.200: icmp_seq=18 ttl=61 time=1861 ms
64 bytes from 10.0.105.200: icmp_seq=19 ttl=61 time=2160 ms
64 bytes from 10.0.105.200: icmp_seq=20 ttl=61 time=2517 ms
64 bytes from 10.0.105.200: icmp_seq=21 ttl=61 time=2983 ms
64 bytes from 10.0.105.200: icmp_seq=22 ttl=61 time=3269 ms
64 bytes from 10.0.105.200: icmp_seq=23 ttl=61 time=3598 ms
64 bytes from 10.0.105.200: icmp_seq=24 ttl=61 time=3872 ms
64 bytes from 10.0.105.200: icmp_seq=25 ttl=61 time=4275 ms
64 bytes from 10.0.105.200: icmp_seq=26 ttl=61 time=3827 ms
64 bytes from 10.0.105.200: icmp_seq=27 ttl=61 time=3658 ms
64 bytes from 10.0.105.200: icmp_seq=28 ttl=61 time=3382 ms
64 bytes from 10.0.105.200: icmp_seq=29 ttl=61 time=2773 ms
64 bytes from 10.0.105.200: icmp_seq=30 ttl=61 time=3025 ms
64 bytes from 10.0.105.200: icmp_seq=31 ttl=61 time=2960 ms
64 bytes from 10.0.105.200: icmp_seq=32 ttl=61 time=2777 ms
64 bytes from 10.0.105.200: icmp_seq=33 ttl=61 time=2661 ms
64 bytes from 10.0.105.200: icmp_seq=34 ttl=61 time=2230 ms
64 bytes from 10.0.105.200: icmp_seq=35 ttl=61 time=1963 ms
64 bytes from 10.0.105.200: icmp_seq=36 ttl=61 time=2885 ms
64 bytes from 10.0.105.200: icmp_seq=37 ttl=61 time=2581 ms
64 bytes from 10.0.105.200: icmp_seq=38 ttl=61 time=1991 ms
64 bytes from 10.0.105.200: icmp_seq=39 ttl=61 time=2144 ms
64 bytes from 10.0.105.200: icmp_seq=40 ttl=61 time=2203 ms
64 bytes from 10.0.105.200: icmp_seq=41 ttl=61 time=2003 ms
64 bytes from 10.0.105.200: icmp_seq=42 ttl=61 time=1826 ms
64 bytes from 10.0.105.200: icmp_seq=43 ttl=61 time=1593 ms
64 bytes from 10.0.105.200: icmp_seq=44 ttl=61 time=1410 ms
64 bytes from 10.0.105.200: icmp_seq=45 ttl=61 time=1393 ms
64 bytes from 10.0.105.200: icmp_seq=46 ttl=61 time=1297 ms
64 bytes from 10.0.105.200: icmp_seq=47 ttl=61 time=1168 ms
64 bytes from 10.0.105.200: icmp_seq=48 ttl=61 time=1150 ms
64 bytes from 10.0.105.200: icmp_seq=49 ttl=61 time=1065 ms
64 bytes from 10.0.105.200: icmp_seq=50 ttl=61 time=982 ms
64 bytes from 10.0.105.200: icmp_seq=51 ttl=61 time=1080 ms
64 bytes from 10.0.105.200: icmp_seq=52 ttl=61 time=1135 ms
64 bytes from 10.0.105.200: icmp_seq=53 ttl=61 time=1246 ms
64 bytes from 10.0.105.200: icmp_seq=54 ttl=61 time=1180 ms
64 bytes from 10.0.105.200: icmp_seq=55 ttl=61 time=1016 ms
64 bytes from 10.0.105.200: icmp_seq=56 ttl=61 time=1003 ms
64 bytes from 10.0.105.200: icmp_seq=57 ttl=61 time=1092 ms
64 bytes from 10.0.105.200: icmp_seq=58 ttl=61 time=924 ms
64 bytes from 10.0.105.200: icmp_seq=59 ttl=61 time=924 ms
64 bytes from 10.0.105.200: icmp_seq=60 ttl=61 time=918 ms

--- 10.0.105.200 ping statistics ---
60 packets transmitted, 60 received, 0% packet loss, time 59425ms
rtt min/avg/max/mdev = 27.807/1636.897/4275.280/1118.242 ms, pipe 5
