PING 10.0.105.200 (10.0.105.200) 56(84) bytes of data.
64 bytes from 10.0.105.200: icmp_seq=1 ttl=61 time=29.4 ms
64 bytes from 10.0.105.200: icmp_seq=2 ttl=61 time=86.0 ms
64 bytes from 10.0.105.200: icmp_seq=3 ttl=61 time=98.6 ms
64 bytes from 10.0.105.200: icmp_seq=4 ttl=61 time=118 ms
64 bytes from 10.0.105.200: icmp_seq=5 ttl=61 time=170 ms
64 bytes from 10.0.105.200: icmp_seq=6 ttl=61 time=216 ms
64 bytes from 10.0.105.200: icmp_seq=7 ttl=61 time=267 ms
64 bytes from 10.0.105.200: icmp_seq=8 ttl=61 time=271 ms
64 bytes from 10.0.105.200: icmp_seq=9 ttl=61 time=317 ms
64 bytes from 10.0.105.200: icmp_seq=10 ttl=61 time=371 ms
64 bytes from 10.0.105.200: icmp_seq=11 ttl=61 time=451 ms
64 bytes from 10.0.105.200: icmp_seq=12 ttl=61 time=552 ms
64 bytes from 10.0.105.200: icmp_seq=13 ttl=61 time=617 ms
64 bytes from 10.0.105.200: icmp_seq=14 ttl=61 time=756 ms
64 bytes from 10.0.105.200: icmp_seq=15 ttl=61 time=968 ms
64 bytes from 10.0.105.200: icmp_seq=16 ttl=61 time=1300 ms
64 bytes from 10.0.105.200: icmp_seq=17 ttl=61 time=1550 ms
64 bytes from 10.0.105.200: icmp_seq=18 ttl=61 time=1861 ms
64 bytes from 10.0.105.200: icmp_seq=19 ttl=61 time=2161 ms
64 bytes from 10.0.105.200: icmp_seq=20 ttl=61 time=2523 ms
64 bytes from 10.0.105.200: icmp_seq=21 ttl=61 time=2986 ms
64 bytes from 10.0.105.200: icmp_seq=22 ttl=61 time=3269 ms
64 bytes from 10.0.105.200: icmp_seq=23 ttl=61 time=3612 ms
64 bytes from 10.0.105.200: icmp_seq=24 ttl=61 time=3873 ms
64 bytes from 10.0.105.200: icmp_seq=25 ttl=61 time=4281 ms
64 bytes from 10.0.105.200: icmp_seq=26 ttl=61 time=3827 ms
64 bytes from 10.0.105.200: icmp_seq=27 ttl=61 time=3658 ms
64 bytes from 10.0.105.200: icmp_seq=28 ttl=61 time=3382 ms
64 bytes from 10.0.105.200: icmp_seq=29 ttl=61 time=2773 ms
64 bytes from 10.0.105.200: icmp_seq=30 ttl=61 time=3025 ms
64 bytes from 10.0.105.200: icmp_seq=31 ttl=61 time=2960 ms
64 bytes from 10.0.105.200: icmp_seq=32 ttl=61 time=2777 ms
64 bytes from 10.0.105.200: icmp_seq=33 ttl=61 time=2661 ms
64 bytes from 10.0.105.200: icmp_seq=34 ttl=61 time=2230 ms
64 bytes from 10.0.105.200: icmp_seq=35 ttl=61 time=3426 ms
64 bytes from 10.0.105.200: icmp_seq=36 ttl=61 time=2884 ms
64 bytes from 10.0.105.200: icmp_seq=37 ttl=61 time=2589 ms
64 bytes from 10.0.105.200: icmp_seq=38 ttl=61 time=1995 ms
64 bytes from 10.0.105.200: icmp_seq=39 ttl=61 time=2152 ms
64 bytes from 10.0.105.200: icmp_seq=40 ttl=61 time=2195 ms
64 bytes from 10.0.105.200: icmp_seq=41 ttl=61 time=2004 ms
64 bytes from 10.0.105.200: icmp_seq=42 ttl=61 time=1827 ms
64 bytes from 10.0.105.200: icmp_seq=43 ttl=61 time=1589 ms
64 bytes from 10.0.105.200: icmp_seq=44 ttl=61 time=1413 ms
64 bytes from 10.0.105.200: icmp_seq=45 ttl=61 time=1403 ms
64 bytes from 10.0.105.200: icmp_seq=46 ttl=61 time=1295 ms
64 bytes from 10.0.105.200: icmp_seq=47 ttl=61 time=1171 ms
64 bytes from 10.0.105.200: icmp_seq=48 ttl=61 time=1152 ms
64 bytes from 10.0.105.200: icmp_seq=49 ttl=61 time=1064 ms
64 bytes from 10.0.105.200: icmp_seq=50 ttl=61 time=982 ms
64 bytes from 10.0.105.200: icmp_seq=51 ttl=61 time=1078 ms
64 bytes from 10.0.105.200: icmp_seq=52 ttl=61 time=1133 ms
64 bytes from 10.0.105.200: icmp_seq=53 ttl=61 time=1211 ms
64 bytes from 10.0.105.200: icmp_seq=54 ttl=61 time=1181 ms
64 bytes from 10.0.105.200: icmp_seq=55 ttl=61 time=1017 ms
64 bytes from 10.0.105.200: icmp_seq=56 ttl=61 time=1004 ms
64 bytes from 10.0.105.200: icmp_seq=57 ttl=61 time=1088 ms
64 bytes from 10.0.105.200: icmp_seq=58 ttl=61 time=928 ms
64 bytes from 10.0.105.200: icmp_seq=59 ttl=61 time=921 ms
64 bytes from 10.0.105.200: icmp_seq=60 ttl=61 time=916 ms

--- 10.0.105.200 ping statistics ---
60 packets transmitted, 60 received, 0% packet loss, time 59457ms
rtt min/avg/max/mdev = 29.405/1660.224/4280.705/1143.729 ms, pipe 5
