PING 10.0.105.200 (10.0.105.200) 56(84) bytes of data.
64 bytes from 10.0.105.200: icmp_seq=1 ttl=61 time=27.5 ms
64 bytes from 10.0.105.200: icmp_seq=2 ttl=61 time=116 ms
64 bytes from 10.0.105.200: icmp_seq=3 ttl=61 time=173 ms
64 bytes from 10.0.105.200: icmp_seq=4 ttl=61 time=214 ms
64 bytes from 10.0.105.200: icmp_seq=5 ttl=61 time=266 ms
64 bytes from 10.0.105.200: icmp_seq=6 ttl=61 time=317 ms
64 bytes from 10.0.105.200: icmp_seq=7 ttl=61 time=363 ms
64 bytes from 10.0.105.200: icmp_seq=8 ttl=61 time=399 ms
64 bytes from 10.0.105.200: icmp_seq=9 ttl=61 time=463 ms
64 bytes from 10.0.105.200: icmp_seq=10 ttl=61 time=507 ms
64 bytes from 10.0.105.200: icmp_seq=11 ttl=61 time=624 ms
64 bytes from 10.0.105.200: icmp_seq=12 ttl=61 time=762 ms
64 bytes from 10.0.105.200: icmp_seq=13 ttl=61 time=908 ms
64 bytes from 10.0.105.200: icmp_seq=14 ttl=61 time=1144 ms
64 bytes from 10.0.105.200: icmp_seq=15 ttl=61 time=1503 ms
64 bytes from 10.0.105.200: icmp_seq=16 ttl=61 time=1868 ms
64 bytes from 10.0.105.200: icmp_seq=17 ttl=61 time=2286 ms
64 bytes from 10.0.105.200: icmp_seq=18 ttl=61 time=2660 ms
64 bytes from 10.0.105.200: icmp_seq=19 ttl=61 time=2933 ms
64 bytes from 10.0.105.200: icmp_seq=20 ttl=61 time=3300 ms
64 bytes from 10.0.105.200: icmp_seq=21 ttl=61 time=3553 ms
64 bytes from 10.0.105.200: icmp_seq=24 ttl=61 time=3869 ms
64 bytes from 10.0.105.200: icmp_seq=26 ttl=61 time=3613 ms
64 bytes from 10.0.105.200: icmp_seq=27 ttl=61 time=3213 ms
64 bytes from 10.0.105.200: icmp_seq=28 ttl=61 time=2983 ms
64 bytes from 10.0.105.200: icmp_seq=29 ttl=61 time=2944 ms
64 bytes from 10.0.105.200: icmp_seq=30 ttl=61 time=2896 ms
64 bytes from 10.0.105.200: icmp_seq=31 ttl=61 time=2489 ms
64 bytes from 10.0.105.200: icmp_seq=32 ttl=61 time=2497 ms
64 bytes from 10.0.105.200: icmp_seq=33 ttl=61 time=2828 ms
64 bytes from 10.0.105.200: icmp_seq=34 ttl=61 time=2498 ms
64 bytes from 10.0.105.200: icmp_seq=35 ttl=61 time=3722 ms
64 bytes from 10.0.105.200: icmp_seq=36 ttl=61 time=3992 ms
64 bytes from 10.0.105.200: icmp_seq=37 ttl=61 time=4064 ms
64 bytes from 10.0.105.200: icmp_seq=38 ttl=61 time=3423 ms
64 bytes from 10.0.105.200: icmp_seq=39 ttl=61 time=3395 ms
64 bytes from 10.0.105.200: icmp_seq=40 ttl=61 time=3474 ms
64 bytes from 10.0.105.200: icmp_seq=41 ttl=61 time=3182 ms
64 bytes from 10.0.105.200: icmp_seq=42 ttl=61 time=3595 ms
64 bytes from 10.0.105.200: icmp_seq=43 ttl=61 time=3316 ms
64 bytes from 10.0.105.200: icmp_seq=44 ttl=61 time=3063 ms
64 bytes from 10.0.105.200: icmp_seq=45 ttl=61 time=3024 ms
64 bytes from 10.0.105.200: icmp_seq=46 ttl=61 time=3014 ms
64 bytes from 10.0.105.200: icmp_seq=47 ttl=61 time=3068 ms
64 bytes from 10.0.105.200: icmp_seq=48 ttl=61 time=3027 ms
64 bytes from 10.0.105.200: icmp_seq=49 ttl=61 time=3168 ms
64 bytes from 10.0.105.200: icmp_seq=50 ttl=61 time=3145 ms
64 bytes from 10.0.105.200: icmp_seq=51 ttl=61 time=3249 ms
64 bytes from 10.0.105.200: icmp_seq=52 ttl=61 time=3224 ms
64 bytes from 10.0.105.200: icmp_seq=53 ttl=61 time=3294 ms
64 bytes from 10.0.105.200: icmp_seq=54 ttl=61 time=3353 ms
64 bytes from 10.0.105.200: icmp_seq=55 ttl=61 time=3355 ms
64 bytes from 10.0.105.200: icmp_seq=57 ttl=61 time=3372 ms
64 bytes from 10.0.105.200: icmp_seq=58 ttl=61 time=3123 ms
64 bytes from 10.0.105.200: icmp_seq=59 ttl=61 time=2827 ms
64 bytes from 10.0.105.200: icmp_seq=60 ttl=61 time=2649 ms

--- 10.0.105.200 ping statistics ---
60 packets transmitted, 56 received, 6.66667% packet loss, time 59331ms
rtt min/avg/max/mdev = 27.529/2434.581/4063.865/1236.006 ms, pipe 4
