PING 10.0.105.200 (10.0.105.200) 56(84) bytes of data.
64 bytes from 10.0.105.200: icmp_seq=1 ttl=61 time=32.7 ms
64 bytes from 10.0.105.200: icmp_seq=2 ttl=61 time=118 ms
64 bytes from 10.0.105.200: icmp_seq=3 ttl=61 time=172 ms
64 bytes from 10.0.105.200: icmp_seq=4 ttl=61 time=213 ms
64 bytes from 10.0.105.200: icmp_seq=5 ttl=61 time=266 ms
64 bytes from 10.0.105.200: icmp_seq=6 ttl=61 time=317 ms
64 bytes from 10.0.105.200: icmp_seq=7 ttl=61 time=360 ms
64 bytes from 10.0.105.200: icmp_seq=8 ttl=61 time=399 ms
64 bytes from 10.0.105.200: icmp_seq=9 ttl=61 time=462 ms
64 bytes from 10.0.105.200: icmp_seq=10 ttl=61 time=507 ms
64 bytes from 10.0.105.200: icmp_seq=11 ttl=61 time=623 ms
64 bytes from 10.0.105.200: icmp_seq=12 ttl=61 time=760 ms
64 bytes from 10.0.105.200: icmp_seq=13 ttl=61 time=906 ms
64 bytes from 10.0.105.200: icmp_seq=14 ttl=61 time=1145 ms
64 bytes from 10.0.105.200: icmp_seq=15 ttl=61 time=1503 ms
64 bytes from 10.0.105.200: icmp_seq=16 ttl=61 time=1867 ms
64 bytes from 10.0.105.200: icmp_seq=17 ttl=61 time=2282 ms
64 bytes from 10.0.105.200: icmp_seq=18 ttl=61 time=2660 ms
64 bytes from 10.0.105.200: icmp_seq=19 ttl=61 time=2933 ms
64 bytes from 10.0.105.200: icmp_seq=20 ttl=61 time=3300 ms
64 bytes from 10.0.105.200: icmp_seq=21 ttl=61 time=3550 ms
64 bytes from 10.0.105.200: icmp_seq=22 ttl=61 time=3777 ms
64 bytes from 10.0.105.200: icmp_seq=24 ttl=61 time=3870 ms
64 bytes from 10.0.105.200: icmp_seq=25 ttl=61 time=3966 ms
64 bytes from 10.0.105.200: icmp_seq=26 ttl=61 time=3635 ms
64 bytes from 10.0.105.200: icmp_seq=27 ttl=61 time=3223 ms
64 bytes from 10.0.105.200: icmp_seq=28 ttl=61 time=2990 ms
64 bytes from 10.0.105.200: icmp_seq=30 ttl=61 time=2967 ms
64 bytes from 10.0.105.200: icmp_seq=31 ttl=61 time=2488 ms
64 bytes from 10.0.105.200: icmp_seq=32 ttl=61 time=2504 ms
64 bytes from 10.0.105.200: icmp_seq=33 ttl=61 time=2848 ms
64 bytes from 10.0.105.200: icmp_seq=34 ttl=61 time=2516 ms
64 bytes from 10.0.105.200: icmp_seq=35 ttl=61 time=3596 ms
64 bytes from 10.0.105.200: icmp_seq=36 ttl=61 time=4025 ms
64 bytes from 10.0.105.200: icmp_seq=37 ttl=61 time=4048 ms
64 bytes from 10.0.105.200: icmp_seq=38 ttl=61 time=3411 ms
64 bytes from 10.0.105.200: icmp_seq=39 ttl=61 time=3377 ms
64 bytes from 10.0.105.200: icmp_seq=40 ttl=61 time=3456 ms
64 bytes from 10.0.105.200: icmp_seq=41 ttl=61 time=3214 ms
64 bytes from 10.0.105.200: icmp_seq=42 ttl=61 time=3586 ms
64 bytes from 10.0.105.200: icmp_seq=43 ttl=61 time=3304 ms
64 bytes from 10.0.105.200: icmp_seq=44 ttl=61 time=3041 ms
64 bytes from 10.0.105.200: icmp_seq=45 ttl=61 time=2998 ms
64 bytes from 10.0.105.200: icmp_seq=46 ttl=61 time=3013 ms
64 bytes from 10.0.105.200: icmp_seq=47 ttl=61 time=3053 ms
64 bytes from 10.0.105.200: icmp_seq=48 ttl=61 time=3045 ms
64 bytes from 10.0.105.200: icmp_seq=49 ttl=61 time=3165 ms
64 bytes from 10.0.105.200: icmp_seq=50 ttl=61 time=3159 ms
64 bytes from 10.0.105.200: icmp_seq=51 ttl=61 time=3259 ms
64 bytes from 10.0.105.200: icmp_seq=52 ttl=61 time=3229 ms
64 bytes from 10.0.105.200: icmp_seq=53 ttl=61 time=3298 ms
64 bytes from 10.0.105.200: icmp_seq=54 ttl=61 time=3345 ms
64 bytes from 10.0.105.200: icmp_seq=55 ttl=61 time=3355 ms
64 bytes from 10.0.105.200: icmp_seq=56 ttl=61 time=3351 ms
64 bytes from 10.0.105.200: icmp_seq=57 ttl=61 time=3366 ms
64 bytes from 10.0.105.200: icmp_seq=58 ttl=61 time=3097 ms
64 bytes from 10.0.105.200: icmp_seq=59 ttl=61 time=2798 ms
64 bytes from 10.0.105.200: icmp_seq=60 ttl=61 time=2633 ms

--- 10.0.105.200 ping statistics ---
60 packets transmitted, 58 received, 3.33333% packet loss, time 59421ms
rtt min/avg/max/mdev = 32.656/2489.427/4048.467/1244.597 ms, pipe 4
