PING 10.0.105.200 (10.0.105.200) 56(84) bytes of data.
64 bytes from 10.0.105.200: icmp_seq=1 ttl=61 time=29.9 ms
64 bytes from 10.0.105.200: icmp_seq=2 ttl=61 time=117 ms
64 bytes from 10.0.105.200: icmp_seq=3 ttl=61 time=166 ms
64 bytes from 10.0.105.200: icmp_seq=4 ttl=61 time=215 ms
64 bytes from 10.0.105.200: icmp_seq=5 ttl=61 time=266 ms
64 bytes from 10.0.105.200: icmp_seq=6 ttl=61 time=313 ms
64 bytes from 10.0.105.200: icmp_seq=7 ttl=61 time=365 ms
64 bytes from 10.0.105.200: icmp_seq=8 ttl=61 time=400 ms
64 bytes from 10.0.105.200: icmp_seq=9 ttl=61 time=467 ms
64 bytes from 10.0.105.200: icmp_seq=10 ttl=61 time=518 ms
64 bytes from 10.0.105.200: icmp_seq=11 ttl=61 time=629 ms
64 bytes from 10.0.105.200: icmp_seq=12 ttl=61 time=765 ms
64 bytes from 10.0.105.200: icmp_seq=13 ttl=61 time=911 ms
64 bytes from 10.0.105.200: icmp_seq=14 ttl=61 time=1153 ms
64 bytes from 10.0.105.200: icmp_seq=15 ttl=61 time=1515 ms
64 bytes from 10.0.105.200: icmp_seq=16 ttl=61 time=1885 ms
64 bytes from 10.0.105.200: icmp_seq=17 ttl=61 time=2284 ms
64 bytes from 10.0.105.200: icmp_seq=18 ttl=61 time=2669 ms
64 bytes from 10.0.105.200: icmp_seq=19 ttl=61 time=2981 ms
64 bytes from 10.0.105.200: icmp_seq=20 ttl=61 time=3322 ms
64 bytes from 10.0.105.200: icmp_seq=21 ttl=61 time=3579 ms
64 bytes from 10.0.105.200: icmp_seq=22 ttl=61 time=3773 ms
64 bytes from 10.0.105.200: icmp_seq=23 ttl=61 time=3774 ms
64 bytes from 10.0.105.200: icmp_seq=26 ttl=61 time=3614 ms
64 bytes from 10.0.105.200: icmp_seq=27 ttl=61 time=3224 ms
64 bytes from 10.0.105.200: icmp_seq=28 ttl=61 time=2982 ms
64 bytes from 10.0.105.200: icmp_seq=29 ttl=61 time=2940 ms
64 bytes from 10.0.105.200: icmp_seq=30 ttl=61 time=2895 ms
64 bytes from 10.0.105.200: icmp_seq=31 ttl=61 time=2489 ms
64 bytes from 10.0.105.200: icmp_seq=32 ttl=61 time=2495 ms
64 bytes from 10.0.105.200: icmp_seq=33 ttl=61 time=2828 ms
64 bytes from 10.0.105.200: icmp_seq=34 ttl=61 time=2497 ms
64 bytes from 10.0.105.200: icmp_seq=35 ttl=61 time=3723 ms
64 bytes from 10.0.105.200: icmp_seq=36 ttl=61 time=3994 ms
64 bytes from 10.0.105.200: icmp_seq=37 ttl=61 time=4070 ms
64 bytes from 10.0.105.200: icmp_seq=38 ttl=61 time=3423 ms
64 bytes from 10.0.105.200: icmp_seq=39 ttl=61 time=3395 ms
64 bytes from 10.0.105.200: icmp_seq=40 ttl=61 time=3474 ms
64 bytes from 10.0.105.200: icmp_seq=41 ttl=61 time=3181 ms
64 bytes from 10.0.105.200: icmp_seq=42 ttl=61 time=3598 ms
64 bytes from 10.0.105.200: icmp_seq=43 ttl=61 time=3317 ms
64 bytes from 10.0.105.200: icmp_seq=44 ttl=61 time=3063 ms
64 bytes from 10.0.105.200: icmp_seq=45 ttl=61 time=3026 ms
64 bytes from 10.0.105.200: icmp_seq=46 ttl=61 time=3015 ms
64 bytes from 10.0.105.200: icmp_seq=47 ttl=61 time=3070 ms
64 bytes from 10.0.105.200: icmp_seq=48 ttl=61 time=3030 ms
64 bytes from 10.0.105.200: icmp_seq=49 ttl=61 time=3170 ms
64 bytes from 10.0.105.200: icmp_seq=50 ttl=61 time=3145 ms
64 bytes from 10.0.105.200: icmp_seq=51 ttl=61 time=3249 ms
64 bytes from 10.0.105.200: icmp_seq=52 ttl=61 time=3226 ms
64 bytes from 10.0.105.200: icmp_seq=53 ttl=61 time=3292 ms
64 bytes from 10.0.105.200: icmp_seq=54 ttl=61 time=3350 ms
64 bytes from 10.0.105.200: icmp_seq=55 ttl=61 time=3354 ms
64 bytes from 10.0.105.200: icmp_seq=57 ttl=61 time=3372 ms
64 bytes from 10.0.105.200: icmp_seq=58 ttl=61 time=3122 ms
64 bytes from 10.0.105.200: icmp_seq=59 ttl=61 time=2826 ms
64 bytes from 10.0.105.200: icmp_seq=60 ttl=61 time=2633 ms

--- 10.0.105.200 ping statistics ---
60 packets transmitted, 57 received, 5% packet loss, time 59363ms
rtt min/avg/max/mdev = 29.890/2459.350/4070.213/1236.120 ms, pipe 4
