PING 10.0.105.200 (10.0.105.200) 56(84) bytes of data.
64 bytes from 10.0.105.200: icmp_seq=1 ttl=61 time=27.7 ms
64 bytes from 10.0.105.200: icmp_seq=2 ttl=61 time=92.4 ms
64 bytes from 10.0.105.200: icmp_seq=3 ttl=61 time=116 ms
64 bytes from 10.0.105.200: icmp_seq=4 ttl=61 time=148 ms
64 bytes from 10.0.105.200: icmp_seq=5 ttl=61 time=172 ms
64 bytes from 10.0.105.200: icmp_seq=6 ttl=61 time=163 ms
64 bytes from 10.0.105.200: icmp_seq=7 ttl=61 time=205 ms
64 bytes from 10.0.105.200: icmp_seq=8 ttl=61 time=245 ms
64 bytes from 10.0.105.200: icmp_seq=9 ttl=61 time=302 ms
64 bytes from 10.0.105.200: icmp_seq=10 ttl=61 time=374 ms
64 bytes from 10.0.105.200: icmp_seq=11 ttl=61 time=466 ms
64 bytes from 10.0.105.200: icmp_seq=12 ttl=61 time=521 ms
64 bytes from 10.0.105.200: icmp_seq=13 ttl=61 time=641 ms
64 bytes from 10.0.105.200: icmp_seq=14 ttl=61 time=814 ms
64 bytes from 10.0.105.200: icmp_seq=15 ttl=61 time=1018 ms
64 bytes from 10.0.105.200: icmp_seq=16 ttl=61 time=1207 ms
64 bytes from 10.0.105.200: icmp_seq=17 ttl=61 time=1492 ms
64 bytes from 10.0.105.200: icmp_seq=18 ttl=61 time=1771 ms
64 bytes from 10.0.105.200: icmp_seq=19 ttl=61 time=2049 ms
64 bytes from 10.0.105.200: icmp_seq=20 ttl=61 time=2316 ms
64 bytes from 10.0.105.200: icmp_seq=21 ttl=61 time=2694 ms
64 bytes from 10.0.105.200: icmp_seq=24 ttl=61 time=3077 ms
64 bytes from 10.0.105.200: icmp_seq=26 ttl=61 time=2833 ms
64 bytes from 10.0.105.200: icmp_seq=27 ttl=61 time=2546 ms
64 bytes from 10.0.105.200: icmp_seq=28 ttl=61 time=2444 ms
64 bytes from 10.0.105.200: icmp_seq=29 ttl=61 time=2544 ms
64 bytes from 10.0.105.200: icmp_seq=30 ttl=61 time=2634 ms
64 bytes from 10.0.105.200: icmp_seq=31 ttl=61 time=2621 ms
64 bytes from 10.0.105.200: icmp_seq=32 ttl=61 time=2117 ms
64 bytes from 10.0.105.200: icmp_seq=33 ttl=61 time=1660 ms
64 bytes from 10.0.105.200: icmp_seq=34 ttl=61 time=1236 ms
64 bytes from 10.0.105.200: icmp_seq=35 ttl=61 time=2360 ms
64 bytes from 10.0.105.200: icmp_seq=36 ttl=61 time=2689 ms
64 bytes from 10.0.105.200: icmp_seq=37 ttl=61 time=2615 ms
64 bytes from 10.0.105.200: icmp_seq=38 ttl=61 time=2591 ms
64 bytes from 10.0.105.200: icmp_seq=39 ttl=61 time=2573 ms
64 bytes from 10.0.105.200: icmp_seq=40 ttl=61 time=2681 ms
64 bytes from 10.0.105.200: icmp_seq=41 ttl=61 time=2759 ms
64 bytes from 10.0.105.200: icmp_seq=42 ttl=61 time=2818 ms
64 bytes from 10.0.105.200: icmp_seq=43 ttl=61 time=2812 ms
64 bytes from 10.0.105.200: icmp_seq=44 ttl=61 time=2808 ms
64 bytes from 10.0.105.200: icmp_seq=46 ttl=61 time=2796 ms
64 bytes from 10.0.105.200: icmp_seq=47 ttl=61 time=2794 ms
64 bytes from 10.0.105.200: icmp_seq=48 ttl=61 time=2697 ms
64 bytes from 10.0.105.200: icmp_seq=49 ttl=61 time=2562 ms
64 bytes from 10.0.105.200: icmp_seq=50 ttl=61 time=2300 ms
64 bytes from 10.0.105.200: icmp_seq=51 ttl=61 time=2032 ms
64 bytes from 10.0.105.200: icmp_seq=52 ttl=61 time=1787 ms
