PING 10.0.105.200 (10.0.105.200) 56(84) bytes of data.
64 bytes from 10.0.105.200: icmp_seq=1 ttl=61 time=24.7 ms
64 bytes from 10.0.105.200: icmp_seq=2 ttl=61 time=78.8 ms
64 bytes from 10.0.105.200: icmp_seq=3 ttl=61 time=84.4 ms
64 bytes from 10.0.105.200: icmp_seq=4 ttl=61 time=95.3 ms
64 bytes from 10.0.105.200: icmp_seq=5 ttl=61 time=102 ms
64 bytes from 10.0.105.200: icmp_seq=6 ttl=61 time=119 ms
64 bytes from 10.0.105.200: icmp_seq=7 ttl=61 time=150 ms
64 bytes from 10.0.105.200: icmp_seq=8 ttl=61 time=189 ms
64 bytes from 10.0.105.200: icmp_seq=9 ttl=61 time=243 ms
64 bytes from 10.0.105.200: icmp_seq=10 ttl=61 time=303 ms
64 bytes from 10.0.105.200: icmp_seq=11 ttl=61 time=386 ms
64 bytes from 10.0.105.200: icmp_seq=12 ttl=61 time=481 ms
64 bytes from 10.0.105.200: icmp_seq=13 ttl=61 time=589 ms
64 bytes from 10.0.105.200: icmp_seq=14 ttl=61 time=712 ms
64 bytes from 10.0.105.200: icmp_seq=15 ttl=61 time=816 ms
64 bytes from 10.0.105.200: icmp_seq=16 ttl=61 time=928 ms
64 bytes from 10.0.105.200: icmp_seq=17 ttl=61 time=1092 ms
64 bytes from 10.0.105.200: icmp_seq=18 ttl=61 time=1289 ms
64 bytes from 10.0.105.200: icmp_seq=19 ttl=61 time=1502 ms
64 bytes from 10.0.105.200: icmp_seq=20 ttl=61 time=1744 ms
64 bytes from 10.0.105.200: icmp_seq=21 ttl=61 time=1984 ms
64 bytes from 10.0.105.200: icmp_seq=22 ttl=61 time=2256 ms
64 bytes from 10.0.105.200: icmp_seq=23 ttl=61 time=2588 ms
64 bytes from 10.0.105.200: icmp_seq=24 ttl=61 time=2911 ms
64 bytes from 10.0.105.200: icmp_seq=25 ttl=61 time=3242 ms
64 bytes from 10.0.105.200: icmp_seq=26 ttl=61 time=3375 ms
64 bytes from 10.0.105.200: icmp_seq=27 ttl=61 time=3374 ms
64 bytes from 10.0.105.200: icmp_seq=29 ttl=61 time=3264 ms
64 bytes from 10.0.105.200: icmp_seq=30 ttl=61 time=2797 ms
64 bytes from 10.0.105.200: icmp_seq=31 ttl=61 time=2431 ms
64 bytes from 10.0.105.200: icmp_seq=32 ttl=61 time=3107 ms
64 bytes from 10.0.105.200: icmp_seq=33 ttl=61 time=2345 ms
64 bytes from 10.0.105.200: icmp_seq=34 ttl=61 time=1344 ms
64 bytes from 10.0.105.200: icmp_seq=35 ttl=61 time=340 ms
64 bytes from 10.0.105.200: icmp_seq=36 ttl=61 time=1433 ms
64 bytes from 10.0.105.200: icmp_seq=37 ttl=61 time=1647 ms
64 bytes from 10.0.105.200: icmp_seq=38 ttl=61 time=2041 ms
64 bytes from 10.0.105.200: icmp_seq=39 ttl=61 time=2086 ms
64 bytes from 10.0.105.200: icmp_seq=40 ttl=61 time=2145 ms
64 bytes from 10.0.105.200: icmp_seq=41 ttl=61 time=2195 ms
64 bytes from 10.0.105.200: icmp_seq=42 ttl=61 time=2255 ms
64 bytes from 10.0.105.200: icmp_seq=43 ttl=61 time=2305 ms
64 bytes from 10.0.105.200: icmp_seq=44 ttl=61 time=2338 ms
64 bytes from 10.0.105.200: icmp_seq=45 ttl=61 time=2358 ms
64 bytes from 10.0.105.200: icmp_seq=46 ttl=61 time=2378 ms
64 bytes from 10.0.105.200: icmp_seq=47 ttl=61 time=2394 ms
64 bytes from 10.0.105.200: icmp_seq=48 ttl=61 time=2408 ms
64 bytes from 10.0.105.200: icmp_seq=49 ttl=61 time=2425 ms
64 bytes from 10.0.105.200: icmp_seq=50 ttl=61 time=2444 ms
64 bytes from 10.0.105.200: icmp_seq=51 ttl=61 time=2439 ms
64 bytes from 10.0.105.200: icmp_seq=52 ttl=61 time=2458 ms
64 bytes from 10.0.105.200: icmp_seq=53 ttl=61 time=2469 ms
64 bytes from 10.0.105.200: icmp_seq=54 ttl=61 time=2461 ms
64 bytes from 10.0.105.200: icmp_seq=55 ttl=61 time=2503 ms
64 bytes from 10.0.105.200: icmp_seq=56 ttl=61 time=2499 ms
64 bytes from 10.0.105.200: icmp_seq=57 ttl=61 time=2562 ms
64 bytes from 10.0.105.200: icmp_seq=58 ttl=61 time=2609 ms
64 bytes from 10.0.105.200: icmp_seq=59 ttl=61 time=2666 ms
64 bytes from 10.0.105.200: icmp_seq=60 ttl=61 time=2739 ms
64 bytes from 10.0.105.200: icmp_seq=61 ttl=61 time=2833 ms
64 bytes from 10.0.105.200: icmp_seq=62 ttl=61 time=2923 ms
64 bytes from 10.0.105.200: icmp_seq=63 ttl=61 time=3066 ms
64 bytes from 10.0.105.200: icmp_seq=64 ttl=61 time=3210 ms
64 bytes from 10.0.105.200: icmp_seq=65 ttl=61 time=3355 ms
