PING 10.0.105.200 (10.0.105.200) 56(84) bytes of data.
64 bytes from 10.0.105.200: icmp_seq=1 ttl=61 time=56.9 ms
64 bytes from 10.0.105.200: icmp_seq=2 ttl=61 time=301 ms
64 bytes from 10.0.105.200: icmp_seq=3 ttl=61 time=350 ms
64 bytes from 10.0.105.200: icmp_seq=4 ttl=61 time=410 ms
64 bytes from 10.0.105.200: icmp_seq=5 ttl=61 time=458 ms
64 bytes from 10.0.105.200: icmp_seq=6 ttl=61 time=504 ms
64 bytes from 10.0.105.200: icmp_seq=7 ttl=61 time=607 ms
64 bytes from 10.0.105.200: icmp_seq=8 ttl=61 time=798 ms
64 bytes from 10.0.105.200: icmp_seq=9 ttl=61 time=1063 ms
64 bytes from 10.0.105.200: icmp_seq=10 ttl=61 time=1354 ms
64 bytes from 10.0.105.200: icmp_seq=11 ttl=61 time=1739 ms
64 bytes from 10.0.105.200: icmp_seq=12 ttl=61 time=2168 ms
64 bytes from 10.0.105.200: icmp_seq=13 ttl=61 time=2652 ms
64 bytes from 10.0.105.200: icmp_seq=14 ttl=61 time=3165 ms
64 bytes from 10.0.105.200: icmp_seq=18 ttl=61 time=3483 ms
64 bytes from 10.0.105.200: icmp_seq=20 ttl=61 time=3046 ms
64 bytes from 10.0.105.200: icmp_seq=22 ttl=61 time=2950 ms
64 bytes from 10.0.105.200: icmp_seq=23 ttl=61 time=2938 ms
64 bytes from 10.0.105.200: icmp_seq=25 ttl=61 time=2916 ms
64 bytes from 10.0.105.200: icmp_seq=26 ttl=61 time=2930 ms
64 bytes from 10.0.105.200: icmp_seq=27 ttl=61 time=2290 ms
64 bytes from 10.0.105.200: icmp_seq=28 ttl=61 time=1944 ms
64 bytes from 10.0.105.200: icmp_seq=29 ttl=61 time=1621 ms
64 bytes from 10.0.105.200: icmp_seq=30 ttl=61 time=2368 ms
64 bytes from 10.0.105.200: icmp_seq=31 ttl=61 time=2405 ms
64 bytes from 10.0.105.200: icmp_seq=32 ttl=61 time=2621 ms
64 bytes from 10.0.105.200: icmp_seq=33 ttl=61 time=2702 ms
64 bytes from 10.0.105.200: icmp_seq=34 ttl=61 time=2811 ms
64 bytes from 10.0.105.200: icmp_seq=35 ttl=61 time=2916 ms
64 bytes from 10.0.105.200: icmp_seq=36 ttl=61 time=3015 ms
64 bytes from 10.0.105.200: icmp_seq=37 ttl=61 time=3095 ms
64 bytes from 10.0.105.200: icmp_seq=38 ttl=61 time=3152 ms
64 bytes from 10.0.105.200: icmp_seq=39 ttl=61 time=3187 ms
64 bytes from 10.0.105.200: icmp_seq=40 ttl=61 time=3215 ms
64 bytes from 10.0.105.200: icmp_seq=41 ttl=61 time=3267 ms
64 bytes from 10.0.105.200: icmp_seq=42 ttl=61 time=3371 ms
64 bytes from 10.0.105.200: icmp_seq=43 ttl=61 time=3494 ms
64 bytes from 10.0.105.200: icmp_seq=45 ttl=61 time=3536 ms
64 bytes from 10.0.105.200: icmp_seq=46 ttl=61 time=3551 ms
64 bytes from 10.0.105.200: icmp_seq=47 ttl=61 time=3547 ms
64 bytes from 10.0.105.200: icmp_seq=48 ttl=61 time=3278 ms
64 bytes from 10.0.105.200: icmp_seq=50 ttl=61 time=2888 ms
64 bytes from 10.0.105.200: icmp_seq=51 ttl=61 time=2906 ms
64 bytes from 10.0.105.200: icmp_seq=52 ttl=61 time=2992 ms
64 bytes from 10.0.105.200: icmp_seq=53 ttl=61 time=3016 ms
64 bytes from 10.0.105.200: icmp_seq=54 ttl=61 time=2989 ms
64 bytes from 10.0.105.200: icmp_seq=55 ttl=61 time=3022 ms
64 bytes from 10.0.105.200: icmp_seq=56 ttl=61 time=3038 ms
64 bytes from 10.0.105.200: icmp_seq=57 ttl=61 time=2904 ms
64 bytes from 10.0.105.200: icmp_seq=58 ttl=61 time=2670 ms
64 bytes from 10.0.105.200: icmp_seq=59 ttl=61 time=2442 ms
64 bytes from 10.0.105.200: icmp_seq=60 ttl=61 time=2316 ms

--- 10.0.105.200 ping statistics ---
60 packets transmitted, 52 received, 13.3333% packet loss, time 59514ms
rtt min/avg/max/mdev = 56.929/2431.864/3550.794/1002.976 ms, pipe 4
