PING 10.0.105.200 (10.0.105.200) 56(84) bytes of data.
64 bytes from 10.0.105.200: icmp_seq=1 ttl=61 time=40.5 ms
64 bytes from 10.0.105.200: icmp_seq=2 ttl=61 time=199 ms
64 bytes from 10.0.105.200: icmp_seq=3 ttl=61 time=254 ms
64 bytes from 10.0.105.200: icmp_seq=4 ttl=61 time=297 ms
64 bytes from 10.0.105.200: icmp_seq=5 ttl=61 time=380 ms
64 bytes from 10.0.105.200: icmp_seq=6 ttl=61 time=393 ms
64 bytes from 10.0.105.200: icmp_seq=7 ttl=61 time=478 ms
64 bytes from 10.0.105.200: icmp_seq=8 ttl=61 time=560 ms
64 bytes from 10.0.105.200: icmp_seq=9 ttl=61 time=728 ms
64 bytes from 10.0.105.200: icmp_seq=10 ttl=61 time=979 ms
64 bytes from 10.0.105.200: icmp_seq=11 ttl=61 time=1739 ms
64 bytes from 10.0.105.200: icmp_seq=12 ttl=61 time=1692 ms
64 bytes from 10.0.105.200: icmp_seq=13 ttl=61 time=2147 ms
64 bytes from 10.0.105.200: icmp_seq=14 ttl=61 time=2405 ms
64 bytes from 10.0.105.200: icmp_seq=15 ttl=61 time=2839 ms
64 bytes from 10.0.105.200: icmp_seq=16 ttl=61 time=3141 ms
64 bytes from 10.0.105.200: icmp_seq=17 ttl=61 time=3450 ms
64 bytes from 10.0.105.200: icmp_seq=18 ttl=61 time=3488 ms
64 bytes from 10.0.105.200: icmp_seq=19 ttl=61 time=3457 ms
64 bytes from 10.0.105.200: icmp_seq=21 ttl=61 time=3308 ms
64 bytes from 10.0.105.200: icmp_seq=22 ttl=61 time=3148 ms
64 bytes from 10.0.105.200: icmp_seq=23 ttl=61 time=3217 ms
64 bytes from 10.0.105.200: icmp_seq=24 ttl=61 time=3180 ms
64 bytes from 10.0.105.200: icmp_seq=25 ttl=61 time=3169 ms
64 bytes from 10.0.105.200: icmp_seq=26 ttl=61 time=3008 ms
64 bytes from 10.0.105.200: icmp_seq=27 ttl=61 time=2849 ms
64 bytes from 10.0.105.200: icmp_seq=28 ttl=61 time=2611 ms
64 bytes from 10.0.105.200: icmp_seq=29 ttl=61 time=2232 ms
64 bytes from 10.0.105.200: icmp_seq=30 ttl=61 time=1544 ms
64 bytes from 10.0.105.200: icmp_seq=31 ttl=61 time=1009 ms
64 bytes from 10.0.105.200: icmp_seq=32 ttl=61 time=1189 ms
64 bytes from 10.0.105.200: icmp_seq=33 ttl=61 time=2522 ms
64 bytes from 10.0.105.200: icmp_seq=34 ttl=61 time=2592 ms
64 bytes from 10.0.105.200: icmp_seq=35 ttl=61 time=2738 ms
64 bytes from 10.0.105.200: icmp_seq=36 ttl=61 time=2756 ms
64 bytes from 10.0.105.200: icmp_seq=37 ttl=61 time=2861 ms
64 bytes from 10.0.105.200: icmp_seq=38 ttl=61 time=2919 ms
64 bytes from 10.0.105.200: icmp_seq=39 ttl=61 time=2918 ms
64 bytes from 10.0.105.200: icmp_seq=40 ttl=61 time=2993 ms
64 bytes from 10.0.105.200: icmp_seq=41 ttl=61 time=2969 ms
64 bytes from 10.0.105.200: icmp_seq=42 ttl=61 time=3045 ms
64 bytes from 10.0.105.200: icmp_seq=43 ttl=61 time=3074 ms
64 bytes from 10.0.105.200: icmp_seq=44 ttl=61 time=3111 ms
64 bytes from 10.0.105.200: icmp_seq=45 ttl=61 time=3170 ms
64 bytes from 10.0.105.200: icmp_seq=46 ttl=61 time=3183 ms
64 bytes from 10.0.105.200: icmp_seq=47 ttl=61 time=3207 ms
64 bytes from 10.0.105.200: icmp_seq=49 ttl=61 time=3145 ms
64 bytes from 10.0.105.200: icmp_seq=50 ttl=61 time=2830 ms
64 bytes from 10.0.105.200: icmp_seq=51 ttl=61 time=2572 ms
64 bytes from 10.0.105.200: icmp_seq=52 ttl=61 time=2554 ms
64 bytes from 10.0.105.200: icmp_seq=53 ttl=61 time=2560 ms
64 bytes from 10.0.105.200: icmp_seq=54 ttl=61 time=2599 ms
64 bytes from 10.0.105.200: icmp_seq=55 ttl=61 time=2579 ms
64 bytes from 10.0.105.200: icmp_seq=56 ttl=61 time=2556 ms
64 bytes from 10.0.105.200: icmp_seq=57 ttl=61 time=2514 ms
64 bytes from 10.0.105.200: icmp_seq=58 ttl=61 time=2583 ms
