PING 10.0.105.200 (10.0.105.200) 56(84) bytes of data.
64 bytes from 10.0.105.200: icmp_seq=1 ttl=61 time=39.3 ms
64 bytes from 10.0.105.200: icmp_seq=2 ttl=61 time=199 ms
64 bytes from 10.0.105.200: icmp_seq=3 ttl=61 time=254 ms
64 bytes from 10.0.105.200: icmp_seq=4 ttl=61 time=295 ms
64 bytes from 10.0.105.200: icmp_seq=5 ttl=61 time=380 ms
64 bytes from 10.0.105.200: icmp_seq=6 ttl=61 time=394 ms
64 bytes from 10.0.105.200: icmp_seq=7 ttl=61 time=477 ms
64 bytes from 10.0.105.200: icmp_seq=8 ttl=61 time=559 ms
64 bytes from 10.0.105.200: icmp_seq=9 ttl=61 time=731 ms
64 bytes from 10.0.105.200: icmp_seq=10 ttl=61 time=979 ms
64 bytes from 10.0.105.200: icmp_seq=11 ttl=61 time=1738 ms
64 bytes from 10.0.105.200: icmp_seq=12 ttl=61 time=1697 ms
64 bytes from 10.0.105.200: icmp_seq=13 ttl=61 time=2149 ms
64 bytes from 10.0.105.200: icmp_seq=14 ttl=61 time=2405 ms
64 bytes from 10.0.105.200: icmp_seq=15 ttl=61 time=2838 ms
64 bytes from 10.0.105.200: icmp_seq=16 ttl=61 time=3138 ms
64 bytes from 10.0.105.200: icmp_seq=17 ttl=61 time=3449 ms
64 bytes from 10.0.105.200: icmp_seq=18 ttl=61 time=3487 ms
64 bytes from 10.0.105.200: icmp_seq=19 ttl=61 time=3503 ms
64 bytes from 10.0.105.200: icmp_seq=20 ttl=61 time=3584 ms
64 bytes from 10.0.105.200: icmp_seq=21 ttl=61 time=3309 ms
64 bytes from 10.0.105.200: icmp_seq=23 ttl=61 time=3217 ms
64 bytes from 10.0.105.200: icmp_seq=24 ttl=61 time=3182 ms
64 bytes from 10.0.105.200: icmp_seq=25 ttl=61 time=3172 ms
64 bytes from 10.0.105.200: icmp_seq=26 ttl=61 time=3011 ms
64 bytes from 10.0.105.200: icmp_seq=27 ttl=61 time=2856 ms
64 bytes from 10.0.105.200: icmp_seq=28 ttl=61 time=2609 ms
64 bytes from 10.0.105.200: icmp_seq=29 ttl=61 time=2243 ms
64 bytes from 10.0.105.200: icmp_seq=30 ttl=61 time=1556 ms
64 bytes from 10.0.105.200: icmp_seq=31 ttl=61 time=1025 ms
64 bytes from 10.0.105.200: icmp_seq=32 ttl=61 time=1188 ms
64 bytes from 10.0.105.200: icmp_seq=33 ttl=61 time=2521 ms
64 bytes from 10.0.105.200: icmp_seq=34 ttl=61 time=2592 ms
64 bytes from 10.0.105.200: icmp_seq=35 ttl=61 time=2733 ms
64 bytes from 10.0.105.200: icmp_seq=36 ttl=61 time=2752 ms
64 bytes from 10.0.105.200: icmp_seq=37 ttl=61 time=2870 ms
64 bytes from 10.0.105.200: icmp_seq=38 ttl=61 time=2918 ms
64 bytes from 10.0.105.200: icmp_seq=39 ttl=61 time=2915 ms
64 bytes from 10.0.105.200: icmp_seq=40 ttl=61 time=2992 ms
64 bytes from 10.0.105.200: icmp_seq=41 ttl=61 time=2982 ms
64 bytes from 10.0.105.200: icmp_seq=42 ttl=61 time=3042 ms
64 bytes from 10.0.105.200: icmp_seq=43 ttl=61 time=3073 ms
64 bytes from 10.0.105.200: icmp_seq=44 ttl=61 time=3114 ms
64 bytes from 10.0.105.200: icmp_seq=45 ttl=61 time=3166 ms
64 bytes from 10.0.105.200: icmp_seq=46 ttl=61 time=3176 ms
64 bytes from 10.0.105.200: icmp_seq=47 ttl=61 time=3216 ms
64 bytes from 10.0.105.200: icmp_seq=48 ttl=61 time=3219 ms
64 bytes from 10.0.105.200: icmp_seq=49 ttl=61 time=3167 ms
64 bytes from 10.0.105.200: icmp_seq=50 ttl=61 time=2849 ms
64 bytes from 10.0.105.200: icmp_seq=51 ttl=61 time=2574 ms
64 bytes from 10.0.105.200: icmp_seq=52 ttl=61 time=2540 ms
64 bytes from 10.0.105.200: icmp_seq=53 ttl=61 time=2560 ms
64 bytes from 10.0.105.200: icmp_seq=54 ttl=61 time=2598 ms
64 bytes from 10.0.105.200: icmp_seq=55 ttl=61 time=2586 ms
64 bytes from 10.0.105.200: icmp_seq=56 ttl=61 time=2544 ms
64 bytes from 10.0.105.200: icmp_seq=57 ttl=61 time=2518 ms
64 bytes from 10.0.105.200: icmp_seq=58 ttl=61 time=2575 ms
64 bytes from 10.0.105.200: icmp_seq=59 ttl=61 time=2631 ms
64 bytes from 10.0.105.200: icmp_seq=60 ttl=61 time=2789 ms
64 bytes from 10.0.105.200: icmp_seq=61 ttl=61 time=2821 ms
64 bytes from 10.0.105.200: icmp_seq=62 ttl=61 time=2910 ms
64 bytes from 10.0.105.200: icmp_seq=63 ttl=61 time=2966 ms
64 bytes from 10.0.105.200: icmp_seq=64 ttl=61 time=2995 ms
64 bytes from 10.0.105.200: icmp_seq=65 ttl=61 time=3008 ms
64 bytes from 10.0.105.200: icmp_seq=66 ttl=61 time=2964 ms
64 bytes from 10.0.105.200: icmp_seq=67 ttl=61 time=3057 ms
64 bytes from 10.0.105.200: icmp_seq=68 ttl=61 time=3090 ms
64 bytes from 10.0.105.200: icmp_seq=69 ttl=61 time=3146 ms
64 bytes from 10.0.105.200: icmp_seq=71 ttl=61 time=3159 ms
64 bytes from 10.0.105.200: icmp_seq=72 ttl=61 time=3217 ms
64 bytes from 10.0.105.200: icmp_seq=74 ttl=61 time=2977 ms
64 bytes from 10.0.105.200: icmp_seq=75 ttl=61 time=2706 ms
64 bytes from 10.0.105.200: icmp_seq=76 ttl=61 time=2620 ms
64 bytes from 10.0.105.200: icmp_seq=77 ttl=61 time=2634 ms
64 bytes from 10.0.105.200: icmp_seq=78 ttl=61 time=2623 ms
64 bytes from 10.0.105.200: icmp_seq=79 ttl=61 time=2636 ms
64 bytes from 10.0.105.200: icmp_seq=80 ttl=61 time=2657 ms
64 bytes from 10.0.105.200: icmp_seq=81 ttl=61 time=2772 ms
64 bytes from 10.0.105.200: icmp_seq=82 ttl=61 time=2733 ms
64 bytes from 10.0.105.200: icmp_seq=83 ttl=61 time=2877 ms
64 bytes from 10.0.105.200: icmp_seq=84 ttl=61 time=2998 ms
64 bytes from 10.0.105.200: icmp_seq=85 ttl=61 time=3074 ms
64 bytes from 10.0.105.200: icmp_seq=86 ttl=61 time=3111 ms
64 bytes from 10.0.105.200: icmp_seq=87 ttl=61 time=3221 ms
64 bytes from 10.0.105.200: icmp_seq=88 ttl=61 time=3218 ms
64 bytes from 10.0.105.200: icmp_seq=89 ttl=61 time=3216 ms
64 bytes from 10.0.105.200: icmp_seq=90 ttl=61 time=3217 ms
64 bytes from 10.0.105.200: icmp_seq=91 ttl=61 time=2972 ms
64 bytes from 10.0.105.200: icmp_seq=92 ttl=61 time=2691 ms
64 bytes from 10.0.105.200: icmp_seq=93 ttl=61 time=2417 ms
64 bytes from 10.0.105.200: icmp_seq=94 ttl=61 time=2323 ms
64 bytes from 10.0.105.200: icmp_seq=95 ttl=61 time=2325 ms
64 bytes from 10.0.105.200: icmp_seq=96 ttl=61 time=2306 ms
64 bytes from 10.0.105.200: icmp_seq=97 ttl=61 time=2357 ms
64 bytes from 10.0.105.200: icmp_seq=98 ttl=61 time=2411 ms
64 bytes from 10.0.105.200: icmp_seq=99 ttl=61 time=2443 ms
64 bytes from 10.0.105.200: icmp_seq=100 ttl=61 time=2547 ms
64 bytes from 10.0.105.200: icmp_seq=101 ttl=61 time=2529 ms
64 bytes from 10.0.105.200: icmp_seq=102 ttl=61 time=2636 ms
64 bytes from 10.0.105.200: icmp_seq=103 ttl=61 time=2614 ms
64 bytes from 10.0.105.200: icmp_seq=104 ttl=61 time=2622 ms
64 bytes from 10.0.105.200: icmp_seq=105 ttl=61 time=2709 ms
64 bytes from 10.0.105.200: icmp_seq=106 ttl=61 time=2677 ms
64 bytes from 10.0.105.200: icmp_seq=107 ttl=61 time=2777 ms
64 bytes from 10.0.105.200: icmp_seq=108 ttl=61 time=2752 ms
64 bytes from 10.0.105.200: icmp_seq=109 ttl=61 time=2936 ms
64 bytes from 10.0.105.200: icmp_seq=110 ttl=61 time=3042 ms
64 bytes from 10.0.105.200: icmp_seq=111 ttl=61 time=3093 ms
64 bytes from 10.0.105.200: icmp_seq=113 ttl=61 time=3230 ms
64 bytes from 10.0.105.200: icmp_seq=114 ttl=61 time=3241 ms
64 bytes from 10.0.105.200: icmp_seq=115 ttl=61 time=3154 ms
64 bytes from 10.0.105.200: icmp_seq=116 ttl=61 time=2875 ms
64 bytes from 10.0.105.200: icmp_seq=117 ttl=61 time=2754 ms
64 bytes from 10.0.105.200: icmp_seq=118 ttl=61 time=2698 ms
64 bytes from 10.0.105.200: icmp_seq=119 ttl=61 time=2720 ms
64 bytes from 10.0.105.200: icmp_seq=120 ttl=61 time=2777 ms
64 bytes from 10.0.105.200: icmp_seq=121 ttl=61 time=2811 ms
64 bytes from 10.0.105.200: icmp_seq=122 ttl=61 time=2846 ms
64 bytes from 10.0.105.200: icmp_seq=123 ttl=61 time=2865 ms
64 bytes from 10.0.105.200: icmp_seq=124 ttl=61 time=2754 ms
64 bytes from 10.0.105.200: icmp_seq=125 ttl=61 time=2640 ms
64 bytes from 10.0.105.200: icmp_seq=126 ttl=61 time=2472 ms
64 bytes from 10.0.105.200: icmp_seq=127 ttl=61 time=2344 ms
64 bytes from 10.0.105.200: icmp_seq=128 ttl=61 time=2190 ms
64 bytes from 10.0.105.200: icmp_seq=129 ttl=61 time=2243 ms
64 bytes from 10.0.105.200: icmp_seq=130 ttl=61 time=2290 ms
64 bytes from 10.0.105.200: icmp_seq=131 ttl=61 time=2329 ms
64 bytes from 10.0.105.200: icmp_seq=132 ttl=61 time=2410 ms
64 bytes from 10.0.105.200: icmp_seq=133 ttl=61 time=2424 ms
64 bytes from 10.0.105.200: icmp_seq=134 ttl=61 time=2450 ms
64 bytes from 10.0.105.200: icmp_seq=135 ttl=61 time=2518 ms
64 bytes from 10.0.105.200: icmp_seq=136 ttl=61 time=2505 ms
64 bytes from 10.0.105.200: icmp_seq=137 ttl=61 time=2572 ms
64 bytes from 10.0.105.200: icmp_seq=138 ttl=61 time=2565 ms
64 bytes from 10.0.105.200: icmp_seq=139 ttl=61 time=2700 ms
64 bytes from 10.0.105.200: icmp_seq=140 ttl=61 time=2722 ms
64 bytes from 10.0.105.200: icmp_seq=141 ttl=61 time=2755 ms
64 bytes from 10.0.105.200: icmp_seq=142 ttl=61 time=3016 ms
64 bytes from 10.0.105.200: icmp_seq=143 ttl=61 time=3115 ms
64 bytes from 10.0.105.200: icmp_seq=144 ttl=61 time=3228 ms
64 bytes from 10.0.105.200: icmp_seq=146 ttl=61 time=3237 ms
64 bytes from 10.0.105.200: icmp_seq=147 ttl=61 time=3101 ms
64 bytes from 10.0.105.200: icmp_seq=148 ttl=61 time=2816 ms
64 bytes from 10.0.105.200: icmp_seq=149 ttl=61 time=2762 ms
64 bytes from 10.0.105.200: icmp_seq=150 ttl=61 time=2729 ms
64 bytes from 10.0.105.200: icmp_seq=151 ttl=61 time=2765 ms
64 bytes from 10.0.105.200: icmp_seq=152 ttl=61 time=2803 ms
64 bytes from 10.0.105.200: icmp_seq=153 ttl=61 time=2815 ms
64 bytes from 10.0.105.200: icmp_seq=154 ttl=61 time=2822 ms
64 bytes from 10.0.105.200: icmp_seq=155 ttl=61 time=2853 ms
64 bytes from 10.0.105.200: icmp_seq=156 ttl=61 time=2753 ms
64 bytes from 10.0.105.200: icmp_seq=157 ttl=61 time=2707 ms
64 bytes from 10.0.105.200: icmp_seq=158 ttl=61 time=2638 ms
64 bytes from 10.0.105.200: icmp_seq=159 ttl=61 time=2484 ms
64 bytes from 10.0.105.200: icmp_seq=160 ttl=61 time=2383 ms
64 bytes from 10.0.105.200: icmp_seq=161 ttl=61 time=2351 ms
64 bytes from 10.0.105.200: icmp_seq=162 ttl=61 time=2418 ms
64 bytes from 10.0.105.200: icmp_seq=163 ttl=61 time=2479 ms
64 bytes from 10.0.105.200: icmp_seq=164 ttl=61 time=2574 ms
64 bytes from 10.0.105.200: icmp_seq=165 ttl=61 time=2650 ms
64 bytes from 10.0.105.200: icmp_seq=166 ttl=61 time=2643 ms
64 bytes from 10.0.105.200: icmp_seq=167 ttl=61 time=2705 ms
64 bytes from 10.0.105.200: icmp_seq=168 ttl=61 time=2694 ms
64 bytes from 10.0.105.200: icmp_seq=169 ttl=61 time=2764 ms
64 bytes from 10.0.105.200: icmp_seq=170 ttl=61 time=2737 ms
64 bytes from 10.0.105.200: icmp_seq=171 ttl=61 time=2808 ms
64 bytes from 10.0.105.200: icmp_seq=172 ttl=61 time=2904 ms
64 bytes from 10.0.105.200: icmp_seq=173 ttl=61 time=2923 ms
64 bytes from 10.0.105.200: icmp_seq=174 ttl=61 time=3112 ms
64 bytes from 10.0.105.200: icmp_seq=175 ttl=61 time=3243 ms
64 bytes from 10.0.105.200: icmp_seq=176 ttl=61 time=3267 ms
64 bytes from 10.0.105.200: icmp_seq=177 ttl=61 time=3277 ms
64 bytes from 10.0.105.200: icmp_seq=179 ttl=61 time=3066 ms
64 bytes from 10.0.105.200: icmp_seq=180 ttl=61 time=2834 ms
64 bytes from 10.0.105.200: icmp_seq=182 ttl=61 time=2783 ms
64 bytes from 10.0.105.200: icmp_seq=183 ttl=61 time=2811 ms
64 bytes from 10.0.105.200: icmp_seq=184 ttl=61 time=2812 ms
64 bytes from 10.0.105.200: icmp_seq=185 ttl=61 time=2806 ms
64 bytes from 10.0.105.200: icmp_seq=186 ttl=61 time=2822 ms
64 bytes from 10.0.105.200: icmp_seq=187 ttl=61 time=2873 ms
64 bytes from 10.0.105.200: icmp_seq=188 ttl=61 time=2714 ms
64 bytes from 10.0.105.200: icmp_seq=189 ttl=61 time=2610 ms
64 bytes from 10.0.105.200: icmp_seq=190 ttl=61 time=2519 ms
64 bytes from 10.0.105.200: icmp_seq=191 ttl=61 time=2451 ms
64 bytes from 10.0.105.200: icmp_seq=192 ttl=61 time=2388 ms
64 bytes from 10.0.105.200: icmp_seq=193 ttl=61 time=2390 ms
64 bytes from 10.0.105.200: icmp_seq=194 ttl=61 time=2484 ms
64 bytes from 10.0.105.200: icmp_seq=195 ttl=61 time=2488 ms
64 bytes from 10.0.105.200: icmp_seq=196 ttl=61 time=2532 ms
64 bytes from 10.0.105.200: icmp_seq=197 ttl=61 time=2648 ms
64 bytes from 10.0.105.200: icmp_seq=198 ttl=61 time=2601 ms
64 bytes from 10.0.105.200: icmp_seq=199 ttl=61 time=2709 ms
64 bytes from 10.0.105.200: icmp_seq=200 ttl=61 time=2669 ms
64 bytes from 10.0.105.200: icmp_seq=201 ttl=61 time=2766 ms
64 bytes from 10.0.105.200: icmp_seq=202 ttl=61 time=2839 ms
64 bytes from 10.0.105.200: icmp_seq=203 ttl=61 time=2807 ms
64 bytes from 10.0.105.200: icmp_seq=204 ttl=61 time=3058 ms
64 bytes from 10.0.105.200: icmp_seq=205 ttl=61 time=3111 ms
64 bytes from 10.0.105.200: icmp_seq=206 ttl=61 time=3317 ms
64 bytes from 10.0.105.200: icmp_seq=207 ttl=61 time=3327 ms
64 bytes from 10.0.105.200: icmp_seq=208 ttl=61 time=3317 ms
64 bytes from 10.0.105.200: icmp_seq=209 ttl=61 time=3304 ms
64 bytes from 10.0.105.200: icmp_seq=210 ttl=61 time=3193 ms
64 bytes from 10.0.105.200: icmp_seq=211 ttl=61 time=2960 ms
64 bytes from 10.0.105.200: icmp_seq=212 ttl=61 time=2800 ms
64 bytes from 10.0.105.200: icmp_seq=213 ttl=61 time=2790 ms
64 bytes from 10.0.105.200: icmp_seq=214 ttl=61 time=2835 ms
64 bytes from 10.0.105.200: icmp_seq=216 ttl=61 time=2909 ms
64 bytes from 10.0.105.200: icmp_seq=217 ttl=61 time=2928 ms
64 bytes from 10.0.105.200: icmp_seq=218 ttl=61 time=2900 ms
64 bytes from 10.0.105.200: icmp_seq=219 ttl=61 time=2920 ms
64 bytes from 10.0.105.200: icmp_seq=220 ttl=61 time=2779 ms
64 bytes from 10.0.105.200: icmp_seq=221 ttl=61 time=2706 ms
